ingredient,product_name,indication,report_type,report_date,era
시타라빈,화이자시타라빈주,용액주사제,공급부족,2026-08-12,2023-01-01~
시타라빈,화이자시타라빈주,용액주사제,공급부족,2026-08-12,2023-01-01~
시타라빈,화이자시타라빈주100mg/5ml,용액주사제,공급부족,2026-08-12,2023-01-01~
"클로르탈리돈,아테놀롤",현대테노레틱정,필름코팅정,공급부족,2026-08-12,2023-01-01~
토브라마이신,토라신안연고(토브라마이신),안연고제,공급중단,2026-08-03,2023-01-01~
"엠트리시타빈,이산화규소흡착코비시스타트,엘비테그라비르(미분화),테노포비르알라페나미드헤미푸마르산염",젠보야정,필름코팅정,공급중단,2026-07-29,2023-01-01~
"슈도에페드린염산염,트리프롤리딘염산염",코스펜에이시럽,액상시럽제,공급중단,2026-07-28,2023-01-01~
"디멘히드리네이트,피리독신염산염,카페인무수물",스피롱액,경구용액제,공급중단,2026-07-20,2023-01-01~
"트로픽아미드,페닐레프린염산염","트로페린점안액(트로픽아미드,페닐레프린)(1회용)",점안용액제,공급부족,2026-07-14,2023-01-01~
포비돈요오드,베타딘드라이파우더스프레이,일반분말분무제,공급부족,2026-07-13,2023-01-01~
엘로티닙염산염,엘로쎄타정150밀리그램(엘로티닙염산염),필름코팅정,공급중단,2026-07-10,2023-01-01~
프레드니솔론아세테이트,프레드니론점안액(프레드니솔론아세테이트),현탁액점안제,공급중단,2026-07-10,2023-01-01~
사람혈청알부민,녹십자-알부민주5%(사람혈청알부민),용액주사제,공급부족,2026-07-10,2023-01-01~
프레드니솔론아세테이트,프레드니론점안액(프레드니솔론아세테이트),현탁액점안제,공급중단,2026-07-10,2023-01-01~
보에마이트,노루모현탁액,경구용현탁액제,공급중단,2026-06-30,2023-01-01~
파리시맙,바비스모주(파리시맙),용액주사제,공급중단,2026-06-29,2023-01-01~
라스미디탄헤미숙신산염,레이보우정100밀리그램(라스미디탄헤미숙신산염),필름코팅정,공급중단,2026-06-26,2023-01-01~
"정제B형간염 표면항원단백(유전자재조합)[숙주: Saccharomyces cerevisiae AB110, 벡터: pYLBC-A/G-UB-HBs]",헤파뮨프리필드시린지(B형간염백신(유전자재조합)),용액주사제,공급중단,2026-06-26,2023-01-01~
라스미디탄헤미숙신산염,레이보우정50밀리그램(라스미디탄헤미숙신산염),필름코팅정,공급중단,2026-06-26,2023-01-01~
엔-아세틸아스파틸글루타민산나트륨,나박점안액(엔-아세틸아스파틸글루타민산나트륨),점안용액제,공급부족,2026-06-25,2023-01-01~
라스미디탄헤미숙신산염,레이보우정100밀리그램(라스미디탄헤미숙신산염),필름코팅정,공급중단,2026-06-25,2023-01-01~
클로르헥시딘글루콘산염 액,휴클로헥시딘액0.12%(클로르헥시딘글루콘산염액),가글제,공급중단,2026-06-24,2023-01-01~
시클로피록스,로푸록스겔(시클로피록스),피부용겔제,공급부족,2026-06-19,2023-01-01~
정제불활화 A형 간염바이러스,박타프리필드시린지(A형간염백신),현탁액주사제,공급중단,2026-06-19,2023-01-01~
정제부자,아코바정(정제부자),나정,공급중단,2026-06-19,2023-01-01~
카르베딜롤과립,딜라트렌에스알캡슐16밀리그램(카르베딜롤),"서방성캡슐제, 펠렛",공급중단,2026-06-18,2023-01-01~
사람혈청알부민,녹십자-알부민주20%(사람혈청알부민),용액주사제,공급부족,2026-06-18,2023-01-01~
카르베딜롤과립,딜라트렌에스알캡슐8밀리그램(카르베딜롤),"서방성캡슐제, 펠렛",공급중단,2026-06-18,2023-01-01~
카르베딜롤과립,딜라트렌에스알캡슐32밀리그램(카르베딜롤),"서방성캡슐제, 펠렛",공급중단,2026-06-18,2023-01-01~
카르베딜롤과립,딜라트렌에스알캡슐64밀리그램(카르베딜롤),"서방성캡슐제, 펠렛",공급중단,2026-06-18,2023-01-01~
테를리프레신아세트산염,글라이프레신1밀리그램(테를리프레신아세트산염),용액용동결건조분말주사제,공급부족,2026-06-17,2023-01-01~
알카프타딘,라스타카프트점안액0.25%(알카프타딘),점안용액제,공급중단,2026-06-17,2023-01-01~
"염화나트륨,탄산수소나트륨,염화마그네슘,포도당수화물,염화칼슘수화물,락트산(S)-나트륨액(60%)",페리퓨어1.5%액,"복막투석제, 액제",공급중단,2026-06-16,2023-01-01~
"염화나트륨,탄산수소나트륨,염화마그네슘,포도당수화물,염화칼슘수화물,락트산(S)-나트륨액(60%)",페리퓨어2.5%액,"복막투석제, 액제",공급중단,2026-06-16,2023-01-01~
아프라클로니딘염산염,"아이오피딘0.5%점안액(아프라클로니딘염산염
)",점안용액제,공급중단,2026-06-16,2023-01-01~
"염화나트륨,탄산수소나트륨,염화마그네슘,포도당수화물,염화칼슘수화물,락트산(S)-나트륨액(60%)",페리퓨어4.25%액,"복막투석제, 액제",공급중단,2026-06-16,2023-01-01~
페그비소만트,소마버트주20밀리그램(페그비소만트),용액용동결건조분말주사제,공급부족,2026-06-12,2023-01-01~
아발글루코시다제알파,넥스비아자임주(아발글루코시다제알파),용액용동결건조분말주사제,공급부족,2026-06-12,2023-01-01~
벨리무맙,"벤리스타주120밀리그램(벨리무맙)(단클론항체, 유전자재조합)",용액용동결건조분말주사제,공급부족,2026-06-10,2023-01-01~
푸로파라카인염산염,알카인0.5%점안액(푸로파라카인염산염),점안용액제,공급부족,2026-06-10,2023-01-01~
시메티딘,"에취투주(시메티딘)(수출명:CIMEMEDICOINJ.200mg,CIMETIDINEINJ.200mg)",용액주사제,공급중단,2026-06-10,2023-01-01~
벨리무맙,"벤리스타주400밀리그램(벨리무맙)(단클론항체, 유전자재조합)",용액용동결건조분말주사제,공급부족,2026-06-10,2023-01-01~
엔잘루타마이드,엑스탄디연질캡슐40mg(엔잘루타마이드),"연질캡슐제, 액상",공급중단,2026-06-10,2023-01-01~
설파디아진은,실버케어크림(설파디아진은),피부크림제,공급중단,2026-06-09,2023-01-01~
"글리세로인산마그네슘,피리독신염산염",마그스포르테액 ,경구용액제,공급중단,2026-06-05,2023-01-01~
혈액응고8인자항체우회활성복합체,훼이바주,용액용동결건조분말주사제,공급중단,2026-06-04,2023-01-01~
라스부리카제,패스터텍주1.5밀리그램(라스부리카제),용액용동결건조분말주사제,공급부족,2026-06-02,2023-01-01~
"다음 각각의 폐렴구균 협막형으로부터 추출된 정제 협막 폴리사카라이드 (협막형:1, 2, 3, 4, 5, 6B, 7F, 8, 9N, 9V, 10A, 11A, 12F, 14, 15B, 17F, 18C, 19A, 19F, 20, 22F, 23F, 33F)",프로디악스-23 프리필드시린지(폐렴구균백신),용액주사제,공급중단,2026-06-01,2023-01-01~
리라글루티드,빅토자펜주6밀리그램/밀리리터(리라글루티드),용액주사제,공급중단,2026-06-01,2023-01-01~
라스미디탄헤미숙신산염,레이보우정100밀리그램(라스미디탄헤미숙신산염),필름코팅정,공급부족,2026-05-28,2023-01-01~
빈크리스틴황산염,빈크란주(빈크리스틴황산염),용액용동결건조분말주사제,공급중단,2026-05-22,2023-01-01~
히드로코르티손숙시네이트나트륨,코티소루주(히드로코르티손숙시네이트나트륨),현탁액용동결건조분말주사제,공급부족,2026-05-21,2023-01-01~
암포테리신B,훈기존주사50밀리그램(주사용암포테리신비),용액용분말주사제,공급부족,2026-05-20,2023-01-01~
니트로 푸루시드 나트륨,나이트로프레스주(니트로푸루시드나트륨),용액주사제,공급부족,2026-05-08,2023-01-01~
히드로코르티손프로부테이트,"반델크림(히드로코르티손프로부테이트
)",피부크림제,공급중단,2026-04-30,2023-01-01~
데노수맙,엑스지바주(데노수맙),용액주사제,공급중단,2026-04-30,2023-01-01~
이포스파마이드,홀록산주1000밀리그람(이포스파마이드),용액용분말주사제,공급부족,2026-04-29,2023-01-01~
니코틴타르타르산염수화물,니코틴엘로젠즈민트향트로키1밀리그램(니코틴타르타르산염수화물),트로키제,공급부족,2026-04-29,2023-01-01~
염산카르테올롤,미케란정(카르테올롤염산염),나정,공급중단,2026-04-22,2023-01-01~
"라미부딘,아바카비르황산염",키벡사정,필름코팅정,공급중단,2026-04-22,2023-01-01~
"정제불활화 인플루엔자바이러스 표면항원 B형[B/Phuket/3073/2013],정제불활화인플루엔자바이러스표면항원B형[B/Michigan/01/2021],정제불활화인플루엔자바이러스표면항원A형[A/Victoria/4897/2022 (IVR-238)(H1N1)],정제불활화인플루엔자바이러스표면항원A형[A/Croatia/10136RV/2023 (NYMC X-425A)(H3N2)]",스카이셀플루4가프리필드시린지(세포배양인플루엔자표면항원백신),현탁액주사제,공급중단,2026-04-21,2023-01-01~
히알루론산나트륨,치아로겔(히알루론산나트륨),피부용겔제,공급중단,2026-04-20,2023-01-01~
"정제 불활화 인플루엔자 바이러스 항원 B형 [B/Phuket/3073/2013 - like strain (B/Phuket/3073/2013, wild type)],정제불활화인플루엔자바이러스항원B형[B/Austria/1359417/2021 - like strain (B/Michigan/01/2021, wild type)],정제불활화인플루엔자바이러스항원A형[A/Victoria/4897/2022 (H1N1)pdm09 - like strain (A/Victoria/4897/2022, IVR-238)],정제불활화인플루엔자바이러스항원A형[A/Thailand/8/2022 (H3N2)-like strain (A/California/122/2022, SAN-022)]",박씨그리프테트라주(인플루엔자분할백신),현탁액주사제,공급중단,2026-04-17,2023-01-01~
철-아세틸트랜스페린,볼그레캡슐(철-아세틸트랜스페린),"경질캡슐제, 산제",공급중단,2026-04-13,2023-01-01~
데쿠알리늄염화물,클리늄질정(데쿠알리늄염화물),질정,공급중단,2026-04-13,2023-01-01~
디아제팜,바리움정5밀리그람(디아제팜),나정,공급중단,2026-04-10,2023-01-01~
콜레칼시페롤,비엠하이디3오랄액(콜레칼시페롤),경구용액제,공급중단,2026-04-09,2023-01-01~
다우노루비신염산염,다우노신주20밀리그램(다우노루비신염산염),용액용동결건조분말주사제,공급중단,2026-04-02,2023-01-01~
사람면역글로불린-지,아이비글로불린에스엔주10%(글리신 첨가 사람면역글로불린[pH4.8]),용액주사제,공급부족,2026-03-31,2023-01-01~
"정제불활화 인플루엔자바이러스항원 B형[B/Phuket/3073/2013],정제불활화인플루엔자바이러스항원B형[B/Austria/1359417/2021 BVR-26],정제불활화인플루엔자바이러스항원A형[A/Victoria/4897/2022 IVR-238(H1N1)],정제불활화인플루엔자바이러스항원A형[A/Thailand/8/2022 IVR-237(H3N2)]",보령플루V테트라백신주(프리필드시린지)(인플루엔자분할백신),현탁액주사제,공급중단,2026-03-24,2023-01-01~
판크레아틴장용성제피펠렛,노자임캡슐40000(판크레아틴장용성제피펠렛),"장용성캡슐제, 펠렛",공급중단,2026-03-19,2023-01-01~
