country,country_name,region_weight,import_share,aliases
CN,중국,1.0,0.2433,China;Chinese
BH,바레인,0.7896,0.1921,Bahrain
US,미국,0.5179,0.126,United States;U.S.;American
TH,태국,0.5041,0.1226,Thailand;Thai
ID,인도네시아,0.3968,0.0965,
TW,대만,0.213,0.0518,
AE,아랍에미리트 연합,0.1754,0.0427,UAE;Emirates;Dubai;Abu Dhabi
VN,베트남,0.1533,0.0373,Vietnam
JP,일본,0.0843,0.0205,Japan;Japanese
OM,오만,0.0651,0.0158,Oman
QA,카타르,0.0591,0.0144,Qatar
MY,말레이시아,0.0487,0.0118,Malaysia
IN,인도,0.0388,0.0094,India;Indian
DE,독일,0.0352,0.0086,Germany;German
SG,싱가포르,0.0243,0.0059,Singapore
Unknown,미상,0.3,0.0,
