MED_DEVICE_5,item_name,related_material,mapping_weight
B0002,item_B0002,oil_plastic,1.0
B0003,item_B0003,latex,1.0
B0004,item_B0004,general_material,1.0
B0005,item_B0005,respiratory disease,1.0
B0006,item_B0006,oil_plastic,1.0
B0007,item_B0007,latex,1.0
B0013,item_B0013,general_material,1.0
B0014,item_B0014,respiratory disease,1.0
B0015,item_B0015,oil_plastic,1.0
B0016,item_B0016,latex,1.0
B0017,item_B0017,general_material,1.0
B0019,item_B0019,respiratory disease,1.0
B0033,item_B0033,oil_plastic,1.0
B0034,item_B0034,latex,1.0
B0035,item_B0035,general_material,1.0
B0036,item_B0036,respiratory disease,1.0
B0037,item_B0037,oil_plastic,1.0
B0039,item_B0039,latex,1.0
B0062,item_B0062,general_material,1.0
B0502,item_B0502,respiratory disease,1.0
B0504,item_B0504,oil_plastic,1.0
B0512,item_B0512,latex,1.0
B0541,item_B0541,general_material,1.0
B0542,item_B0542,respiratory disease,1.0
B0543,item_B0543,oil_plastic,1.0
B0544,item_B0544,latex,1.0
B0545,item_B0545,general_material,1.0
B0546,item_B0546,respiratory disease,1.0
B0547,item_B0547,oil_plastic,1.0
B0555,item_B0555,latex,1.0
B1501,item_B1501,general_material,1.0
B3001,item_B3001,respiratory disease,1.0
B3050,item_B3050,oil_plastic,1.0
B3110,item_B3110,latex,1.0
B3120,item_B3120,general_material,1.0
B3320,item_B3320,respiratory disease,1.0
C5475,item_C5475,oil_plastic,1.0
C5491,item_C5491,latex,1.0
C6401,item_C6401,general_material,1.0
C6402,item_C6402,respiratory disease,1.0
D1102,item_D1102,oil_plastic,1.0
E2001,item_E2001,latex,1.0
E2011,item_E2011,general_material,1.0
E2021,item_E2021,respiratory disease,1.0
E5002,item_E5002,oil_plastic,1.0
I0201,item_I0201,latex,1.0
I0303,item_I0303,general_material,1.0
I1201,item_I1201,respiratory disease,1.0
I2011,item_I2011,oil_plastic,1.0
I2012,item_I2012,latex,1.0
I2111,item_I2111,general_material,1.0
J2301,item_J2301,respiratory disease,1.0
J2712,item_J2712,oil_plastic,1.0
J4001,item_J4001,latex,1.0
J4042,item_J4042,general_material,1.0
J4112,item_J4112,respiratory disease,1.0
J4113,item_J4113,oil_plastic,1.0
J4114,item_J4114,latex,1.0
J4216,item_J4216,general_material,1.0
J4403,item_J4403,respiratory disease,1.0
J6041,item_J6041,oil_plastic,1.0
J6051,item_J6051,latex,1.0
J7001,item_J7001,general_material,1.0
K0001,item_K0001,respiratory disease,1.0
K0002,item_K0002,oil_plastic,1.0
K2053,item_K2053,latex,1.0
K2054,item_K2054,general_material,1.0
K2056,item_K2056,respiratory disease,1.0
K2058,item_K2058,oil_plastic,1.0
K2061,item_K2061,latex,1.0
K3002,item_K3002,general_material,1.0
K3006,item_K3006,respiratory disease,1.0
K3100,item_K3100,oil_plastic,1.0
K3101,item_K3101,latex,1.0
K3200,item_K3200,general_material,1.0
K4001,item_K4001,respiratory disease,1.0
K4021,item_K4021,oil_plastic,1.0
K4101,item_K4101,latex,1.0
K4200,item_K4200,general_material,1.0
K4201,item_K4201,respiratory disease,1.0
K4311,item_K4311,oil_plastic,1.0
K4430,item_K4430,latex,1.0
K4431,item_K4431,general_material,1.0
K4501,item_K4501,respiratory disease,1.0
K4505,item_K4505,oil_plastic,1.0
K4800,item_K4800,latex,1.0
K5001,item_K5001,general_material,1.0
K5011,item_K5011,respiratory disease,1.0
K5101,item_K5101,oil_plastic,1.0
K5550,item_K5550,latex,1.0
K6003,item_K6003,general_material,1.0
K6014,item_K6014,respiratory disease,1.0
K6042,item_K6042,oil_plastic,1.0
K6044,item_K6044,latex,1.0
K6045,item_K6045,general_material,1.0
K6046,item_K6046,respiratory disease,1.0
K6056,item_K6056,oil_plastic,1.0
K6061,item_K6061,latex,1.0
K6100,item_K6100,general_material,1.0
K7001,item_K7001,respiratory disease,1.0
K7201,item_K7201,oil_plastic,1.0
K7202,item_K7202,latex,1.0
K7203,item_K7203,general_material,1.0
K7204,item_K7204,respiratory disease,1.0
K7227,item_K7227,oil_plastic,1.0
K7228,item_K7228,latex,1.0
K7229,item_K7229,general_material,1.0
K7233,item_K7233,respiratory disease,1.0
K7301,item_K7301,oil_plastic,1.0
K7310,item_K7310,latex,1.0
K7901,item_K7901,general_material,1.0
K8100,item_K8100,respiratory disease,1.0
K8103,item_K8103,oil_plastic,1.0
K8104,item_K8104,latex,1.0
K8205,item_K8205,general_material,1.0
K8301,item_K8301,respiratory disease,1.0
K8305,item_K8305,oil_plastic,1.0
K8310,item_K8310,latex,1.0
K8312,item_K8312,general_material,1.0
K8314,item_K8314,respiratory disease,1.0
K8321,item_K8321,oil_plastic,1.0
K8324,item_K8324,latex,1.0
K8325,item_K8325,general_material,1.0
K8400,item_K8400,respiratory disease,1.0
K8402,item_K8402,oil_plastic,1.0
K8403,item_K8403,latex,1.0
K8404,item_K8404,general_material,1.0
K8405,item_K8405,respiratory disease,1.0
K8502,item_K8502,oil_plastic,1.0
K8503,item_K8503,latex,1.0
K8504,item_K8504,general_material,1.0
K8505,item_K8505,respiratory disease,1.0
K9205,item_K9205,oil_plastic,1.0
K9206,item_K9206,latex,1.0
L3002,item_L3002,general_material,1.0
L3011,item_L3011,respiratory disease,1.0
L3105,item_L3105,oil_plastic,1.0
L3202,item_L3202,latex,1.0
L7250,item_L7250,general_material,1.0
L7260,item_L7260,respiratory disease,1.0
L7501,item_L7501,oil_plastic,1.0
L9001,item_L9001,latex,1.0
M0018,item_M0018,general_material,1.0
M1001,item_M1001,respiratory disease,1.0
M1002,item_M1002,oil_plastic,1.0
M1003,item_M1003,latex,1.0
M1004,item_M1004,general_material,1.0
M1006,item_M1006,respiratory disease,1.0
M1007,item_M1007,oil_plastic,1.0
M1017,item_M1017,latex,1.0
M1019,item_M1019,general_material,1.0
M1102,item_M1102,respiratory disease,1.0
M2094,item_M2094,oil_plastic,1.0
M2108,item_M2108,latex,1.0
M2130,item_M2130,general_material,1.0
M2134,item_M2134,respiratory disease,1.0
M3010,item_M3010,oil_plastic,1.0
M3020,item_M3020,latex,1.0
M3030,item_M3030,general_material,1.0
M3031,item_M3031,respiratory disease,1.0
M3032,item_M3032,oil_plastic,1.0
M3041,item_M3041,latex,1.0
M3042,item_M3042,general_material,1.0
M3050,item_M3050,respiratory disease,1.0
M3060,item_M3060,oil_plastic,1.0
M3061,item_M3061,latex,1.0
M3101,item_M3101,general_material,1.0
M3102,item_M3102,respiratory disease,1.0
M3103,item_M3103,oil_plastic,1.0
M3104,item_M3104,latex,1.0
M3105,item_M3105,general_material,1.0
M3204,item_M3204,respiratory disease,1.0
M4000,item_M4000,oil_plastic,1.0
M6600,item_M6600,latex,1.0
M6610,item_M6610,general_material,1.0
M6710,item_M6710,respiratory disease,1.0
M6730,item_M6730,oil_plastic,1.0
M6740,item_M6740,latex,1.0
M6750,item_M6750,general_material,1.0
N0101,item_N0101,respiratory disease,1.0
