source_item_name,source_subtype_name,source_specification,item_family_id,standard_family_name,item_subtype_id,standard_subtype_name,item_group_id,is_forecastable,normalized_specification,unit_code,unit_name,material_candidate,material_mapping_status,review_status,taxonomy_version
ibuprofen,정제,400mg,IBUPROFEN,ibuprofen,DRUG_TABLET,정제,MED_ORAL,t,400mg,TABLET,정,,separate_approved_mapping_required,approved,v1.0
카테터,카테터(angio needle),16G,ANGIO_CATHETER,카테터,ANGIO_NEEDLE,카테터(angio needle),MED_SUPPLY,t,16G,EA,개수,,separate_approved_mapping_required,approved,v1.0
카테터,카테터(angio needle),18G,ANGIO_CATHETER,카테터,ANGIO_NEEDLE,카테터(angio needle),MED_SUPPLY,t,18G,EA,개수,,separate_approved_mapping_required,approved,v1.0
카테터,카테터(angio needle),20G,ANGIO_CATHETER,카테터,ANGIO_NEEDLE,카테터(angio needle),MED_SUPPLY,t,20G,EA,개수,,separate_approved_mapping_required,approved,v1.0
카테터,카테터(angio needle),22G,ANGIO_CATHETER,카테터,ANGIO_NEEDLE,카테터(angio needle),MED_SUPPLY,t,22G,EA,개수,,separate_approved_mapping_required,approved,v1.0
카테터,카테터(angio needle),24G,ANGIO_CATHETER,카테터,ANGIO_NEEDLE,카테터(angio needle),MED_SUPPLY,t,24G,EA,개수,,separate_approved_mapping_required,approved,v1.0
카테터,나비 바늘,나비 바늘,ANGIO_CATHETER,카테터,BUTTERFLY_NEEDLE,나비 바늘,MED_SUPPLY,t,나비 바늘,EA,개수,,separate_approved_mapping_required,approved,v1.0
채혈침,채혈침,18G,BLOOD_LANCET,채혈침,BLOOD_LANCET,채혈침,MED_SUPPLY,t,18G,EA,개수,,separate_approved_mapping_required,approved,v1.0
채혈침,채혈침,21G,BLOOD_LANCET,채혈침,BLOOD_LANCET,채혈침,MED_SUPPLY,t,21G,EA,개수,,separate_approved_mapping_required,approved,v1.0
채혈침,채혈침,23G,BLOOD_LANCET,채혈침,BLOOD_LANCET,채혈침,MED_SUPPLY,t,23G,EA,개수,,separate_approved_mapping_required,approved,v1.0
채혈침,채혈침,25G,BLOOD_LANCET,채혈침,BLOOD_LANCET,채혈침,MED_SUPPLY,t,25G,EA,개수,,separate_approved_mapping_required,approved,v1.0
채혈침,채혈침,26G,BLOOD_LANCET,채혈침,BLOOD_LANCET,채혈침,MED_SUPPLY,t,26G,EA,개수,,separate_approved_mapping_required,approved,v1.0
채혈침,채혈침,28G,BLOOD_LANCET,채혈침,BLOOD_LANCET,채혈침,MED_SUPPLY,t,28G,EA,개수,,separate_approved_mapping_required,approved,v1.0
채혈침,채혈침,29G,BLOOD_LANCET,채혈침,BLOOD_LANCET,채혈침,MED_SUPPLY,t,29G,EA,개수,,separate_approved_mapping_required,approved,v1.0
채혈침,채혈침,30G,BLOOD_LANCET,채혈침,BLOOD_LANCET,채혈침,MED_SUPPLY,t,30G,EA,개수,,separate_approved_mapping_required,approved,v1.0
