institution_code,item_code,local_item_key,item_family_id,item_subtype_id,normalized_specification,unit_code,taxonomy_version,review_status,reviewer,reviewed_at,evidence_reference,classification_version
P4386,USE0000001,P4386::USE0000001,DISPOSABLE_SYRINGE,SYRINGE_USAGE_BASED,3mL,EA,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_ff969cd25b471bd849fc,classification-v1.0
P4689,USE0000037,P4689::USE0000037,DISPOSABLE_SYRINGE,SYRINGE_USAGE_BASED,3mL,EA,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_14ced78de0d778f78cac,classification-v1.0
E3734,USE0001280,E3734::USE0001280,BLOOD_LANCET,BLOOD_LANCET,30G,EA,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_9d22681372c890cc8166,classification-v1.0
P4687,USE0000002,P4687::USE0000002,DISPOSABLE_SYRINGE,SYRINGE_USAGE_BASED,3mL,EA,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_14ced78de0d778f78cac,classification-v1.0
M3988,USE0000026,M3988::USE0000026,DISPOSABLE_SYRINGE,SYRINGE_USAGE_BASED,5mL,EA,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_824f073b25c44ae890fc,classification-v1.0
K388<,WA11850831,K388<::WA11850831,IBUPROFEN,DRUG_TABLET,400mg,TABLET,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_b8ea0ce13efe1f765b30,classification-v1.0
Q4:8<,WA11850831,Q4:8<::WA11850831,IBUPROFEN,DRUG_TABLET,400mg,TABLET,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_b8ea0ce13efe1f765b30,classification-v1.0
O3889,USE0000014,O3889::USE0000014,DISPOSABLE_SYRINGE,SYRINGE_USAGE_BASED,3mL,EA,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_14ced78de0d778f78cac,classification-v1.0
N4385,WA11850831,N4385::WA11850831,IBUPROFEN,DRUG_TABLET,400mg,TABLET,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_b8ea0ce13efe1f765b30,classification-v1.0
Q5387,WA11850831,Q5387::WA11850831,IBUPROFEN,DRUG_TABLET,400mg,TABLET,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_b8ea0ce13efe1f765b30,classification-v1.0
Q459;,WA11850831,Q459;::WA11850831,IBUPROFEN,DRUG_TABLET,400mg,TABLET,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_b8ea0ce13efe1f765b30,classification-v1.0
Q3993,WA11850831,Q3993::WA11850831,IBUPROFEN,DRUG_TABLET,400mg,TABLET,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_b8ea0ce13efe1f765b30,classification-v1.0
N37:4,WA11850831,N37:4::WA11850831,IBUPROFEN,DRUG_TABLET,400mg,TABLET,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_b8ea0ce13efe1f765b30,classification-v1.0
Q4389,WA11850831,Q4389::WA11850831,IBUPROFEN,DRUG_TABLET,400mg,TABLET,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_b8ea0ce13efe1f765b30,classification-v1.0
N3<98,USE0000004,N3<98::USE0000004,DISPOSABLE_SYRINGE,SYRINGE_USAGE_BASED,3mL,EA,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_14ced78de0d778f78cac,classification-v1.0
Q;587,WA11850831,Q;587::WA11850831,IBUPROFEN,DRUG_TABLET,400mg,TABLET,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_b8ea0ce13efe1f765b30,classification-v1.0
N3<8<,WA11850831,N3<8<::WA11850831,IBUPROFEN,DRUG_TABLET,400mg,TABLET,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_b8ea0ce13efe1f765b30,classification-v1.0
P4786,WA11850831,P4786::WA11850831,IBUPROFEN,DRUG_TABLET,400mg,TABLET,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_b8ea0ce13efe1f765b30,classification-v1.0
Q3<85,WA11850831,Q3<85::WA11850831,IBUPROFEN,DRUG_TABLET,400mg,TABLET,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_b8ea0ce13efe1f765b30,classification-v1.0
P;698,USE0000011,P;698::USE0000011,DISPOSABLE_SYRINGE,SYRINGE_USAGE_BASED,3mL,EA,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_14ced78de0d778f78cac,classification-v1.0
M399;,WA11850831,M399;::WA11850831,IBUPROFEN,DRUG_TABLET,400mg,TABLET,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_b8ea0ce13efe1f765b30,classification-v1.0
P434<,WA11850831,P434<::WA11850831,IBUPROFEN,DRUG_TABLET,400mg,TABLET,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_b8ea0ce13efe1f765b30,classification-v1.0
M3787,USE0000008,M3787::USE0000008,BLOOD_LANCET,BLOOD_LANCET,28G,EA,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_bd2a280ba0ac49192f40,classification-v1.0
O;59:,USE0000012,O;59:::USE0000012,DISPOSABLE_SYRINGE,SYRINGE_USAGE_BASED,3mL,EA,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_14ced78de0d778f78cac,classification-v1.0
M358:,WA11850831,M358:::WA11850831,IBUPROFEN,DRUG_TABLET,400mg,TABLET,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_b8ea0ce13efe1f765b30,classification-v1.0
R3748,USE0000134,R3748::USE0000134,DISPOSABLE_SYRINGE,SYRINGE_USAGE_BASED,5mL,EA,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_824f073b25c44ae890fc,classification-v1.0
Q4599,WA11850831,Q4599::WA11850831,IBUPROFEN,DRUG_TABLET,400mg,TABLET,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_b8ea0ce13efe1f765b30,classification-v1.0
R3889,WA11850831,R3889::WA11850831,IBUPROFEN,DRUG_TABLET,400mg,TABLET,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_b8ea0ce13efe1f765b30,classification-v1.0
K6634,USE0000737,K6634::USE0000737,INJECTION_NEEDLE,INJECTION_NEEDLE,22G,EA,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_d2426d55e2182b205a18,classification-v1.0
D3734,USE0000448,D3734::USE0000448,INJECTION_NEEDLE,INJECTION_NEEDLE,23G,EA,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_5c1589d853bafb6ec143,classification-v1.0
N3989,WA11850831,N3989::WA11850831,IBUPROFEN,DRUG_TABLET,400mg,TABLET,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_b8ea0ce13efe1f765b30,classification-v1.0
R469<,USE0000004,R469<::USE0000004,DISPOSABLE_SYRINGE,SYRINGE_USAGE_BASED,3mL,EA,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_14ced78de0d778f78cac,classification-v1.0
G348;,WA11850831,G348;::WA11850831,IBUPROFEN,DRUG_TABLET,400mg,TABLET,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_b8ea0ce13efe1f765b30,classification-v1.0
P;78:,WA11850831,P;78:::WA11850831,IBUPROFEN,DRUG_TABLET,400mg,TABLET,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_b8ea0ce13efe1f765b30,classification-v1.0
Q3995,WA11850831,Q3995::WA11850831,IBUPROFEN,DRUG_TABLET,400mg,TABLET,v1.0,approved,codex_external_evidence_pipeline,2026-07-28T14:34:34.342652+00:00,DECISION::classification-v1.0::ITEM_b8ea0ce13efe1f765b30,classification-v1.0
