decision_id,representative_item_id,decision_action,canonical_item_id,verified_item_name,verified_item_group_id,item_family_id,verified_family_name,item_subtype_id,verified_subtype_name,verified_specification,verified_unit,verified_material,evidence_source,evidence_record_id,evidence_url,evidence_field,retrieved_at,verification_status,review_status,reviewer,reviewed_at,review_note,decision_version
DECISION::classification-v1.0::ITEM_b8ea0ce13efe1f765b30,ITEM_b8ea0ce13efe1f765b30,APPROVE_ITEM,mfds_drug::199901375,아루펜정400밀리그람(이부프로펜),MED_ORAL,IBUPROFEN,이부프로펜,DRUG_TABLET,정제,400mg,TABLET,,mfds_nedrug_web,199901375,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199901375,품목기준코드;제품명;원료약품및분량;제형,2026-07-15T14:04:28.826873+00:00,verified_identity,approved,codex_external_evidence_pipeline,2026-07-22T12:35:28.630356+00:00,official_name_code_ingredient_strength_match,classification-v1.0
DECISION::classification-v1.0::ITEM_14ced78de0d778f78cac,ITEM_14ced78de0d778f78cac,APPROVE_FAMILY,,,MED_SUPPLY,DISPOSABLE_SYRINGE,주사기,SYRINGE_USAGE_BASED,주사기(사용량 기준),3mL,EA,,MFDS_DEVICE_CLASSIFICATION_2026_18,MFDS_DEVICE_CLASSIFICATION_2026_18::DISPOSABLE_SYRINGE,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulSeq=2100000275656,representative_name;item_family_id;item_subtype_id;normalized_specification;unit_code,2026-07-22T12:35:28.630356+00:00,verified_family,approved,codex_external_evidence_pipeline,2026-07-22T12:35:28.630356+00:00,explicit_family_spec_unit_supported_by_official_taxonomy,classification-v1.0
DECISION::classification-v1.0::ITEM_bc0e986753408ad8e7b8,ITEM_bc0e986753408ad8e7b8,APPROVE_FAMILY,,,MED_SUPPLY,DISPOSABLE_SYRINGE,주사기,SYRINGE_USAGE_BASED,주사기(사용량 기준),3mL,EA,,MFDS_DEVICE_CLASSIFICATION_2026_18,MFDS_DEVICE_CLASSIFICATION_2026_18::DISPOSABLE_SYRINGE,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulSeq=2100000275656,representative_name;item_family_id;item_subtype_id;normalized_specification;unit_code,2026-07-22T12:35:28.630356+00:00,verified_family,approved,codex_external_evidence_pipeline,2026-07-22T12:35:28.630356+00:00,explicit_family_spec_unit_supported_by_official_taxonomy,classification-v1.0
DECISION::classification-v1.0::ITEM_ba44c17e818616ccef23,ITEM_ba44c17e818616ccef23,APPROVE_FAMILY,,,MED_SUPPLY,DISPOSABLE_SYRINGE,주사기,SYRINGE_USAGE_BASED,주사기(사용량 기준),3mL,EA,,MFDS_DEVICE_CLASSIFICATION_2026_18,MFDS_DEVICE_CLASSIFICATION_2026_18::DISPOSABLE_SYRINGE,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulSeq=2100000275656,representative_name;item_family_id;item_subtype_id;normalized_specification;unit_code,2026-07-22T12:35:28.630356+00:00,verified_family,approved,codex_external_evidence_pipeline,2026-07-22T12:35:28.630356+00:00,explicit_family_spec_unit_supported_by_official_taxonomy,classification-v1.0
DECISION::classification-v1.0::ITEM_3e6cf8aaf09e1eeb17fc,ITEM_3e6cf8aaf09e1eeb17fc,APPROVE_FAMILY,,,MED_SUPPLY,BLOOD_LANCET,채혈침,BLOOD_LANCET,채혈침,28G,EA,,MFDS_DEVICE_CLASSIFICATION_2026_18,MFDS_DEVICE_CLASSIFICATION_2026_18::BLOOD_LANCET,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulSeq=2100000275656,representative_name;item_family_id;item_subtype_id;normalized_specification;unit_code,2026-07-22T12:35:28.630356+00:00,verified_family,approved,codex_external_evidence_pipeline,2026-07-22T12:35:28.630356+00:00,explicit_family_spec_unit_supported_by_official_taxonomy,classification-v1.0
DECISION::classification-v1.0::ITEM_bd2a280ba0ac49192f40,ITEM_bd2a280ba0ac49192f40,APPROVE_FAMILY,,,MED_SUPPLY,BLOOD_LANCET,채혈침,BLOOD_LANCET,채혈침,28G,EA,,MFDS_DEVICE_CLASSIFICATION_2026_18,MFDS_DEVICE_CLASSIFICATION_2026_18::BLOOD_LANCET,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulSeq=2100000275656,representative_name;item_family_id;item_subtype_id;normalized_specification;unit_code,2026-07-22T12:35:28.630356+00:00,verified_family,approved,codex_external_evidence_pipeline,2026-07-22T12:35:28.630356+00:00,explicit_family_spec_unit_supported_by_official_taxonomy,classification-v1.0
DECISION::classification-v1.0::ITEM_dc1f7094d59cfc8b4183,ITEM_dc1f7094d59cfc8b4183,APPROVE_FAMILY,,,MED_SUPPLY,BLOOD_LANCET,채혈침,BLOOD_LANCET,채혈침,30G,EA,,MFDS_DEVICE_CLASSIFICATION_2026_18,MFDS_DEVICE_CLASSIFICATION_2026_18::BLOOD_LANCET,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulSeq=2100000275656,representative_name;item_family_id;item_subtype_id;normalized_specification;unit_code,2026-07-22T12:35:28.630356+00:00,verified_family,approved,codex_external_evidence_pipeline,2026-07-22T12:35:28.630356+00:00,explicit_family_spec_unit_supported_by_official_taxonomy,classification-v1.0
DECISION::classification-v1.0::ITEM_824f073b25c44ae890fc,ITEM_824f073b25c44ae890fc,APPROVE_FAMILY,,,MED_SUPPLY,DISPOSABLE_SYRINGE,주사기,SYRINGE_USAGE_BASED,주사기(사용량 기준),5mL,EA,,MFDS_DEVICE_CLASSIFICATION_2026_18,MFDS_DEVICE_CLASSIFICATION_2026_18::DISPOSABLE_SYRINGE,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulSeq=2100000275656,representative_name;item_family_id;item_subtype_id;normalized_specification;unit_code,2026-07-22T12:35:28.630356+00:00,verified_family,approved,codex_external_evidence_pipeline,2026-07-22T12:35:28.630356+00:00,explicit_family_spec_unit_supported_by_official_taxonomy,classification-v1.0
DECISION::classification-v1.0::ITEM_69f65e1f9f3c18dcf949,ITEM_69f65e1f9f3c18dcf949,APPROVE_FAMILY,,,MED_SUPPLY,INFUSION_SET,수액세트,INFUSION_SET,수액세트,수액세트,EA,,MFDS_DEVICE_CLASSIFICATION_2026_18,MFDS_DEVICE_CLASSIFICATION_2026_18::INFUSION_SET,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulSeq=2100000275656,representative_name;item_family_id;item_subtype_id;normalized_specification;unit_code,2026-07-22T12:35:28.630356+00:00,verified_family,approved,codex_external_evidence_pipeline,2026-07-22T12:35:28.630356+00:00,explicit_family_spec_unit_supported_by_official_taxonomy,classification-v1.0
DECISION::classification-v1.0::ITEM_51c62eef976e035e0896,ITEM_51c62eef976e035e0896,APPROVE_FAMILY,,,MED_SUPPLY,DISPOSABLE_SYRINGE,주사기,SYRINGE_USAGE_BASED,주사기(사용량 기준),1mL,EA,,MFDS_DEVICE_CLASSIFICATION_2026_18,MFDS_DEVICE_CLASSIFICATION_2026_18::DISPOSABLE_SYRINGE,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulSeq=2100000275656,representative_name;item_family_id;item_subtype_id;normalized_specification;unit_code,2026-07-22T12:35:28.630356+00:00,verified_family,approved,codex_external_evidence_pipeline,2026-07-22T12:35:28.630356+00:00,explicit_family_spec_unit_supported_by_official_taxonomy,classification-v1.0
DECISION::classification-v1.0::ITEM_eb59a166e2237bc85d7a,ITEM_eb59a166e2237bc85d7a,APPROVE_FAMILY,,,MED_SUPPLY,BLOOD_LANCET,채혈침,BLOOD_LANCET,채혈침,30G,EA,,MFDS_DEVICE_CLASSIFICATION_2026_18,MFDS_DEVICE_CLASSIFICATION_2026_18::BLOOD_LANCET,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulSeq=2100000275656,representative_name;item_family_id;item_subtype_id;normalized_specification;unit_code,2026-07-22T12:35:28.630356+00:00,verified_family,approved,codex_external_evidence_pipeline,2026-07-22T12:35:28.630356+00:00,explicit_family_spec_unit_supported_by_official_taxonomy,classification-v1.0
