material,country_code,country_name,region_weight,import_value_usd
ALUMINUM,AE,아랍에미리트 연합,0.4475696541062585,94326539
ALUMINUM,OM,오만,0.210155513125005,44290854
ALUMINUM,BH,바레인,0.138237778126728,29133993
ALUMINUM,CN,중국,0.12190394680386579,25691593
ALUMINUM,QA,카타르,0.08213310783814275,17309779
CALCIUM_CARBONATE,AE,아랍에미리트 연합,1.0,24
COTTON_FIBER,US,미국,0.999888047289564,64930863
ETHANOL,US,미국,0.9909468121029816,206188842
GLUCOSE_CORNSTARCH,CN,중국,1.0,126481901
NATURAL_RUBBER_LATEX,TH,태국,0.4712713160023705,327366662
NATURAL_RUBBER_LATEX,ID,인도네시아,0.37512047541993077,260575880
NATURAL_RUBBER_LATEX,VN,베트남,0.11103181346887375,77127788
NATURAL_RUBBER_LATEX,MY,말레이시아,0.04225377171549371,29351407
NONWOVEN_FABRIC_SPUNBOND,CN,중국,0.6002924694586896,64718491
NONWOVEN_FABRIC_SPUNBOND,JP,일본,0.15152167439794673,16335794
NONWOVEN_FABRIC_SPUNBOND,DE,독일,0.08253918022308528,8898681
NONWOVEN_FABRIC_SPUNBOND,US,미국,0.07254996746685856,7821728
NONWOVEN_FABRIC_SPUNBOND,TW,대만,0.05616771345725055,6055531
NONWOVEN_FABRIC_SPUNBOND,VN,베트남,0.025409974672576743,2739490
PARAFFIN_PETROLEUM,CN,중국,0.7670587049603496,17855265
PARAFFIN_PETROLEUM,US,미국,0.16883800557729967,3930139
PARAFFIN_PETROLEUM,DE,독일,0.02824383796369149,657448
PARAFFIN_PETROLEUM,IN,인도,0.018111682003961495,421596
PETROCHEMICAL_NAPHTHA,BH,바레인,0.9241848917415442,335704578
PETROCHEMICAL_NAPHTHA,CN,중국,0.07581510825845587,27539380
POLYESTER_FIBER,CN,중국,0.6414699105810561,13596568
POLYESTER_FIBER,TH,태국,0.1679691635517643,3560267
POLYESTER_FIBER,VN,베트남,0.09451784104477289,2003396
POLYESTER_FIBER,ID,인도네시아,0.056774084641428774,1203381
POLYESTER_FIBER,TW,대만,0.01753829834332549,371741
POLYESTER_FIBER,JP,일본,0.008398866274302513,178022
POLYETHYLENE_PE,QA,카타르,0.45145206203927235,21757101
POLYETHYLENE_PE,CN,중국,0.39156135289493404,18870752
POLYETHYLENE_PE,AE,아랍에미리트 연합,0.09976315943348663,4807946
POLYETHYLENE_PE,OM,오만,0.05722342563230696,2757803
POLYPROPYLENE_PP,CN,중국,0.34681028331185293,19217921
POLYPROPYLENE_PP,SG,싱가포르,0.23694968905870595,13130177
POLYPROPYLENE_PP,JP,일본,0.103651368946193,5743670
POLYPROPYLENE_PP,TH,태국,0.06994454802356848,3875862
POLYPROPYLENE_PP,DE,독일,0.06594850764673078,3654428
POLYPROPYLENE_PP,VN,베트남,0.05508042339397106,3052191
POLYPROPYLENE_PP,US,미국,0.04348648522520402,2409732
POLYPROPYLENE_PP,NL,네덜란드,0.030675800638236047,1699849
POLYPROPYLENE_PP,MY,말레이시아,0.014662566716318957,812502
POLYPROPYLENE_PP,BE,벨기에,0.013624224947654315,754964
POLYURETHANE_PU,AE,아랍에미리트 연합,1.0,585
POLYVINYL_CHLORIDE_PVC,CN,중국,1.0,22692858
REFINED_SUGAR,CN,중국,0.9977030620194425,471283
STAINLESS_STEEL,IN,인도,0.27619210561039825,20422730
STAINLESS_STEEL,US,미국,0.2604450526169619,19258331
STAINLESS_STEEL,JP,일본,0.20220346413554888,14951719
STAINLESS_STEEL,DE,독일,0.09178392206386755,6786864
STAINLESS_STEEL,TW,대만,0.08612650036146982,6368532
STAINLESS_STEEL,CN,중국,0.06048484222457689,4472487
STAINLESS_STEEL,VN,베트남,0.01954786526023346,1445446
SYNTHETIC_NITRILE_RUBBER,CN,중국,0.6310861872446224,231244884
SYNTHETIC_NITRILE_RUBBER,TW,대만,0.32239252656470413,118132236
SYNTHETIC_NITRILE_RUBBER,JP,일본,0.03576278481044855,13104329
