raw_material_meta_code,hs_code,hs_item_name_ko,relation_type,mapping_weight,proxy_quality,review_status,approval_basis,evidence_reference,valid_from,valid_to,mapping_version
ACETAMINOPHEN,2924291020,아세트아미노펜,direct_active_ingredient,1.0,1.0,approved,user_requested_exact_government_ingredient_hsk_approval,관세청_HS부호_20260101.xlsx#2924291020;drug_ingredient_name=acetaminophen,2002-01-01,2026-12-31,material-hs-hsk2026-drug-v2.0
ALUMINUM,7601100000,합금하지 않은 알루미늄,upstream_material_proxy,1.0,0.8,approved,user_requested_curated_hsk_reference_approval,관세청_HS부호_20260101.xlsx#7601100000,2013-01-01,2026-12-31,material-hs-hsk2026-drug-v2.0
AMMONIUM_CHLORIDE,2827100000,염화암모늄,direct_active_ingredient,1.0,1.0,approved,user_requested_exact_government_ingredient_hsk_approval,관세청_HS부호_20260101.xlsx#2827100000;drug_ingredient_name=ammonium chloride,2002-01-01,2026-12-31,material-hs-hsk2026-drug-v2.0
ASCORBIC_ACID,2936271000,아스코르브산,direct_active_ingredient,1.0,1.0,approved,user_requested_exact_government_ingredient_hsk_approval,관세청_HS부호_20260101.xlsx#2936271000;drug_ingredient_name=ascorbic acid,2002-01-01,2026-12-31,material-hs-hsk2026-drug-v2.0
CALCIUM_CARBONATE,2836500000,탄산칼슘,direct_active_ingredient,1.0,1.0,approved,user_requested_exact_government_ingredient_hsk_approval,관세청_HS부호_20260101.xlsx#2836500000;drug_ingredient_name=calcium carbonate,2002-01-01,2026-12-31,material-hs-hsk2026-drug-v2.0
CALCIUM_CHLORIDE,2827200000,염화칼슘,direct_active_ingredient,1.0,1.0,approved,user_requested_exact_government_ingredient_hsk_approval,관세청_HS부호_20260101.xlsx#2827200000;drug_ingredient_name=calcium chloride,2002-01-01,2026-12-31,material-hs-hsk2026-drug-v2.0
COTTON_FIBER,5201001000,실면(實綿),material_grade_proxy,0.5,0.7,approved,user_requested_curated_hsk_reference_approval,관세청_HS부호_20260101.xlsx#5201001000,2013-01-01,2026-12-31,material-hs-hsk2026-drug-v2.0
COTTON_FIBER,5203000000,면[카드(card)하거나 코움(comb)한 것으로 한정한다],material_grade_proxy,0.5,0.7,approved,user_requested_curated_hsk_reference_approval,관세청_HS부호_20260101.xlsx#5203000000,2013-01-01,2026-12-31,material-hs-hsk2026-drug-v2.0
EPINEPHRINE,2937902100,에피네프린,direct_active_ingredient,1.0,1.0,approved,user_requested_exact_government_ingredient_hsk_approval,관세청_HS부호_20260101.xlsx#2937902100;drug_ingredient_name=epinephrine,2012-01-01,2026-12-31,material-hs-hsk2026-drug-v2.0
GLUCOSE_CORNSTARCH,1702301000,포도당,material_grade_proxy,0.5,0.7,approved,user_requested_curated_hsk_reference_approval,관세청_HS부호_20260101.xlsx#1702301000,2002-01-01,2026-12-31,material-hs-hsk2026-drug-v2.0
GLUCOSE_CORNSTARCH,1702401000,포도당,material_grade_proxy,0.5,0.7,approved,user_requested_curated_hsk_reference_approval,관세청_HS부호_20260101.xlsx#1702401000,2002-01-01,2026-12-31,material-hs-hsk2026-drug-v2.0
HYDROCORTISONE,2937212000,히드로코르티손,direct_active_ingredient,1.0,1.0,approved,user_requested_exact_government_ingredient_hsk_approval,관세청_HS부호_20260101.xlsx#2937212000;drug_ingredient_name=hydrocortisone,2002-01-01,2026-12-31,material-hs-hsk2026-drug-v2.0
LACTIC_ACID,2918111000,락트산,direct_active_ingredient,1.0,1.0,approved,user_requested_exact_government_ingredient_hsk_approval,관세청_HS부호_20260101.xlsx#2918111000;drug_ingredient_name=lactic acid,2002-01-01,2026-12-31,material-hs-hsk2026-drug-v2.0
LIDOCAINE_HYDROCHLORIDE,2924299010,염산리도카인,direct_active_ingredient,1.0,1.0,approved,user_requested_exact_government_ingredient_hsk_approval,관세청_HS부호_20260101.xlsx#2924299010;drug_ingredient_name=lidocaine hydrochloride,2002-01-01,2026-12-31,material-hs-hsk2026-drug-v2.0
MAGNESIUM_HYDROXIDE,2816101000,수산화마그네슘,direct_active_ingredient,1.0,1.0,approved,user_requested_exact_government_ingredient_hsk_approval,관세청_HS부호_20260101.xlsx#2816101000;drug_ingredient_name=magnesium hydroxide,2002-01-01,2026-12-31,material-hs-hsk2026-drug-v2.0
MENTHOL,2906110000,멘톨,direct_active_ingredient,1.0,1.0,approved,user_requested_exact_government_ingredient_hsk_approval,관세청_HS부호_20260101.xlsx#2906110000;drug_ingredient_name=menthol,2002-01-01,2026-12-31,material-hs-hsk2026-drug-v2.0
OXYTETRACYCLINE_HYDROCHLORIDE,2941302000,염산 옥시 테트라사이클린,direct_active_ingredient,1.0,1.0,approved,user_requested_exact_government_ingredient_hsk_approval,관세청_HS부호_20260101.xlsx#2941302000;drug_ingredient_name=oxytetracycline hydrochloride,2002-01-01,2026-12-31,material-hs-hsk2026-drug-v2.0
PARAFFIN_PETROLEUM,2710197320,유동파라핀,material_grade_proxy,0.5,0.65,approved,user_requested_curated_hsk_reference_approval,관세청_HS부호_20260101.xlsx#2710197320,2002-01-01,2026-12-31,material-hs-hsk2026-drug-v2.0
PARAFFIN_PETROLEUM,2712200000,파라핀왁스(기름의 함유량이 전 중량의 100분의 0.75 미만인 것으로 한정한다),material_grade_proxy,0.5,0.65,approved,user_requested_curated_hsk_reference_approval,관세청_HS부호_20260101.xlsx#2712200000,2013-01-01,2026-12-31,material-hs-hsk2026-drug-v2.0
POLYESTER_FIBER,5501200000,폴리에스테르의 것,upstream_material_proxy,1.0,0.8,approved,user_requested_curated_hsk_reference_approval,관세청_HS부호_20260101.xlsx#5501200000,2002-01-01,2026-12-31,material-hs-hsk2026-drug-v2.0
POLYETHYLENE_PE,3901101000,선형저밀도폴리에틸렌,material_grade_proxy,0.5,0.7,approved,user_requested_curated_hsk_reference_approval,관세청_HS부호_20260101.xlsx#3901101000,2007-01-01,2026-12-31,material-hs-hsk2026-drug-v2.0
POLYETHYLENE_PE,3901200000,폴리에틸렌(비중이 0.94 이상으로 한정한다),material_grade_proxy,0.5,0.7,approved,user_requested_curated_hsk_reference_approval,관세청_HS부호_20260101.xlsx#3901200000,2022-01-01,2026-12-31,material-hs-hsk2026-drug-v2.0
POLYPROPYLENE_PP,3902100000,폴리프로필렌,direct_raw_material,1.0,1.0,approved,user_requested_curated_hsk_reference_approval,관세청_HS부호_20260101.xlsx#3902100000,2002-01-01,2026-12-31,material-hs-hsk2026-drug-v2.0
POLYURETHANE_PU,3909500000,폴리우레탄,direct_raw_material,1.0,1.0,approved,user_requested_curated_hsk_reference_approval,관세청_HS부호_20260101.xlsx#3909500000,2002-01-01,2026-12-31,material-hs-hsk2026-drug-v2.0
POLYVINYL_CHLORIDE_PVC,3904100000,폴리(염화비닐)(다른 물질을 혼합하지 않은 것으로 한정한다),material_family_proxy,1.0,0.75,approved,user_requested_curated_hsk_reference_approval,관세청_HS부호_20260101.xlsx#3904100000,2013-01-01,2026-12-31,material-hs-hsk2026-drug-v2.0
POTASSIUM_CHLORIDE,3104200000,염화칼륨,direct_active_ingredient,1.0,1.0,approved,user_requested_exact_government_ingredient_hsk_approval,관세청_HS부호_20260101.xlsx#3104200000;drug_ingredient_name=potassium chloride,2002-01-01,2026-12-31,material-hs-hsk2026-drug-v2.0
POTASSIUM_IODIDE,2827609010,요드화칼륨,direct_active_ingredient,1.0,1.0,approved,user_requested_exact_government_ingredient_hsk_approval,관세청_HS부호_20260101.xlsx#2827609010;drug_ingredient_name=potassium iodide,2002-01-01,2026-12-31,material-hs-hsk2026-drug-v2.0
PREDNISOLONE,2937214000,프레드니소론,direct_active_ingredient,1.0,1.0,approved,user_requested_exact_government_ingredient_hsk_approval,관세청_HS부호_20260101.xlsx#2937214000;drug_ingredient_name=prednisolone,2002-01-01,2026-12-31,material-hs-hsk2026-drug-v2.0
