물품코드,물품명,sample_size,raw_median_days,credibility,review_period_days
EXDG000003,AIDS시약(EIA),6,101.0,0.6517988434649009,101.3
EXDG000138,시필리스페스트3.0(100T),6,101.0,0.6517988434649009,101.3
MTR1100002,4X4 멸균거즈 (20매/box),6,76.5,0.6517988434649009,85.4
MTR1100007,란셋(200pcs/곽),11,51.0,0.7743591917034056,62.5
O655006100,한신구미강활탕(단미엑스산혼합제)-12.03g,11,218.0,0.7743591917034056,191.8
O655006120,한신가미소요산(단미엑스산혼합제)-8.58g,11,111.0,0.7743591917034056,109.0
O655006130,한신보중익기탕(단미엑스산혼합제)-6.18g,11,148.0,0.7743591917034056,137.6
O655006140,한신갈근탕(단미엑스산혼합제)-9.84g,9,298.0,0.7373849397414085,246.5
O655006180,한신생맥산(단미엑스산혼합제)-4.23g,17,148.0,0.841363653406724,140.7
O655006240,한신반하후박탕(단미엑스산혼합제)-4.05g,5,55.0,0.609362685123064,73.4
O655006250,한신도인승기탕(단미엑스산혼합제)-15.51g,5,159.0,0.609362685123064,136.7
O655006300,한신이중탕(단미엑스산혼합제)-7.26g,12,66.0,0.7891988132134214,73.6
O655006330,한신팔물탕(단미엑스산혼합제)-10.77g,8,97.0,0.713948244582345,98.4
O655006350,한신평위산(단미엑스산혼합제)-6.54g,10,98.0,0.757272044090506,99.0
O655006380,한신향사평위산(단미엑스산혼합제)-8.67g,7,150.0,0.6859185028929208,134.9
O655006390,한신오적산(단미엑스산혼합제)-13.05g,25,60.0,0.8863584253658293,64.8
O655006400,한신반하백출천마탕(단미엑스산혼합제)-10.95g,6,139.0,0.6517988434649009,126.1
O655006490,한신반하사심탕(단미엑스산혼합제)-9.6g,12,122.0,0.7891988132134214,117.8
O655006500,한신불환금정기산(단미엑스산혼합제)-7.98g,5,97.0,0.609362685123064,99.0
O655006550,한신연교패독산(단미엑스산혼합제)-8.73g,9,111.0,0.7373849397414085,108.6
O655006600,한신형개연교탕(단미엑스산혼합제)-10.32g,5,103.0,0.609362685123064,102.6
O655006650,한신자음강화탕(단미엑스산혼합제)-11.52g,12,135.0,0.7891988132134214,128.0
O655006680,한신오적산연조엑스(단미엑스혼합제)-60.00 g,24,73.0,0.8821812393179619,76.4
O655006710,한신소청룡탕연조엑스(단미엑스혼합제)-30g,13,103.0,0.8022069811890467,102.8
O655006740,한신반하사심탕연조엑스(단미엑스혼합제)-30.00 g,6,34.5,0.6517988434649009,58.0
O655006780,한신구미강활탕연조엑스(단미엑스혼합제)-45.00g,6,86.5,0.6517988434649009,91.9
O655006790,한신보중익기탕연조엑스(단미엑스혼합제)-30.00 g,7,133.0,0.6859185028929208,123.3
O655006800,한신향사평위산연조엑스(단미엑스혼합제)-30g,11,75.0,0.7743591917034056,81.1
O658105080,한풍구미강활탕(단미엑스산혼합제)-12.03g,15,77.0,0.8239361571668503,81.4
O658105170,한풍삼소음(단미엑스산혼합제)-10.11g,5,229.0,0.609362685123064,179.4
O658105180,한풍오적산(단미엑스산혼합제)-13.05g,18,68.5,0.8488446318075722,73.6
O658105190,한풍향사평위산(혼합단미엑스산)-8.67g,9,94.0,0.7373849397414085,96.1
O658105200,한풍반하백출천마탕(단미엑스산혼합제)-10.95g,5,325.0,0.609362685123064,237.9
O658105220,한풍가미소요산(단미엑스산혼합제)-8.58g,6,236.0,0.6517988434649009,189.3
O658105230,한풍보중익기탕(단미엑스산혼합제)-6.18g,14,122.0,0.8137030369094728,118.3
O658105240,한풍소청룡탕(단미엑스산혼합제)-8.01g,6,195.0,0.6517988434649009,162.6
O658105250,한풍팔물탕(단미엑스산혼합제)-10.77g,26,76.0,0.8902495546430217,78.9
O658105280,한풍삼출건비탕(단미엑스산혼합제)-10.17g,8,96.0,0.713948244582345,97.7
O658105340,한풍갈근탕(단미엑스산혼합제)-9.84g,10,242.0,0.757272044090506,208.0
O658105370,한풍황련해독탕(단미엑스산혼합제)-5.61g,5,108.0,0.609362685123064,105.7
O658105390,한풍행소탕(단미엑스산혼합제)-7.44g,6,119.0,0.6517988434649009,113.1
O658105440,한풍조위승기탕(단미엑스산혼합제)-13.62g,7,114.0,0.6859185028929208,110.2
O658105490,한풍생맥산(단미엑스산혼합제)-4.23g,9,129.0,0.7373849397414085,121.9
O658105500,한풍반하후박탕(단미엑스산혼합제)-4.05g,5,236.0,0.609362685123064,183.7
O658105540,한풍반하사심탕(단미엑스산혼합제)-9.6g,12,195.5,0.7891988132134214,175.8
O658105620,한풍이진탕(단미엑스산혼합제)-3.78g,5,139.0,0.609362685123064,124.5
O658105780,한풍오적산연조엑스(단미엑스혼합제)-45.00g,26,95.5,0.8902495546430217,96.2
O658105790,한풍평위산연조엑스(단미엑스혼합제)-27.00g,6,154.0,0.6517988434649009,135.9
O658105980,한풍소청룡탕연조엑스(단미엑스혼합제)-48.00g,37,140.0,0.9202768166782527,137.0
O658105980,한풍소청룡탕연조엑스(단미엑스혼합제)-48g,5,84.0,0.609362685123064,91.0
O658106050,한풍삼소음연조엑스(단미엑스혼합제)-31.50 g,18,207.5,0.8488446318075722,191.6
O658106060,한풍반하사심탕연조엑스(단미엑스혼합제)-36.90 g,13,173.0,0.8022069811890467,159.0
O658106080,한풍갈근탕연조엑스(단미엑스혼합제)-39.00 g,15,90.0,0.8239361571668503,92.1
O658106090,한풍형개연교탕연조엑스(단미엑스혼합제)-36.00 g,5,173.0,0.609362685123064,145.3
O658106100,한풍반하백출천마탕연조엑스(단미엑스혼합제)-36.00 g,14,118.5,0.8137030369094728,115.4
O658106110,한풍구미강활탕연조엑스(단미엑스혼합제)-33.00 g,14,113.0,0.8137030369094728,111.0
O658106160,한풍연교패독산연조엑스(단미엑스혼합제)-45.00g,14,160.0,0.8137030369094728,149.2
O658106190,한풍행소탕연조엑스(단미엑스혼합제)-33.00 g,5,218.0,0.609362685123064,172.7
O658106230,한풍가미소요산연조엑스(단미엑스혼합제)-36.00g,9,173.0,0.7373849397414085,154.4
O658106230,한풍가미소요산연조엑스(단미엑스혼합제)-36g,8,32.0,0.713948244582345,52.0
O658106240,한풍자음강화탕연조엑스(단미엑스혼합제)-42.00g,12,94.0,0.7891988132134214,95.7
O658106250,한풍보중익기탕연조엑스(단미엑스혼합제)-36.00g,36,91.5,0.91824333662659,92.4
O658107730,한풍팔물탕연조엑스(단미엑스혼합제)-39.00g,18,181.0,0.8488446318075722,169.1
O658108080,한풍향사평위산연조엑스(단미엑스혼합제)-30.00g,15,140.0,0.8239361571668503,133.3
O658108080,한풍향사평위산연조엑스(단미엑스혼합제)-30g,6,158.0,0.6517988434649009,138.5
O661300880,경방보중익기탕(혼합단미엑스산)-13.47g,12,127.0,0.7891988132134214,121.7
O661301470,경방오적산(혼합단미엑스산)-28.38g,15,92.0,0.8239361571668503,93.8
O661301960,경방팔물탕(혼합단미엑스산)-47.85g,13,101.0,0.8022069811890467,101.2
O661302020,경방향사평위산(혼합단미엑스산)-18.9g,16,125.0,0.8331036212313633,121.2
O661304030,경방가미소요산(혼합단미엑스산)-8.55g,92,90.5,0.966332817319264,90.9
O661304040,경방갈근탕(혼합단미엑스산)-9.84g,69,155.0,0.9556086008736322,152.6
O661304050,경방갈근해기탕(혼합단미엑스산)-15.00 g,5,171.0,0.609362685123064,144.0
O661304050,경방갈근해기탕(혼합단미엑스산)-15g,12,28.5,0.7891988132134214,44.0
O661304060,경방구미강활탕(혼합단미엑스산)-12.03g,62,85.0,0.9508430400625738,85.8
O661304080,경방궁하탕(단미엑스혼합제)-4.8g,21,112.0,0.8675788022781872,110.7
O661304090,경방내소산(혼합단미엑스산)-9.75g,9,130.0,0.7373849397414085,122.6
O661304140,경방대화중음(혼합단미엑스산)-9.06g,23,168.0,0.8776852485244809,159.9
O661304150,경방대황목단피탕(혼합단미엑스산)-14.25g,6,93.5,0.6517988434649009,96.5
O661304160,경방도인승기탕(혼합단미엑스산)-15.51g,36,133.5,0.91824333662659,130.9
O661304170,경방반하백출천마탕(혼합단미엑스산)-10.95g,51,112.0,0.9408675096457326,111.4
O661304180,경방반하사심탕(혼합단미엑스산)-9.57g,61,99.0,0.9500774184626258,99.1
O661304190,경방반하후박탕(혼합단미엑스산)-4.05g,59,78.0,0.948472327374514,79.2
O661304210,경방보중익기탕(혼합단미엑스산)-6.18g,96,91.5,0.9676902925633517,91.8
O661304230,경방복령보심탕(혼합단미엑스산)-14.49g,38,149.0,0.9222115967885741,145.3
O661304240,경방불환금정기산(혼합단미엑스산)-7.98g,25,126.0,0.8863584253658293,123.3
O661304250,경방삼소음(혼합단미엑스산)-10.08g,65,129.0,0.953005201840745,127.7
