country_code,country_name,scope_role,review_status,evidence_reference,scope_version
CN,중국,observed_import_2025_01,approved,KCS_nitemtrade:3902100000:2025-01,pp-country-scope-v1.0
TH,태국,observed_import_2025_01,approved,KCS_nitemtrade:3902100000:2025-01,pp-country-scope-v1.0
JP,일본,observed_import_2025_01,approved,KCS_nitemtrade:3902100000:2025-01,pp-country-scope-v1.0
DE,독일,observed_import_2025_01,approved,KCS_nitemtrade:3902100000:2025-01,pp-country-scope-v1.0
VN,베트남,observed_import_2025_01,approved,KCS_nitemtrade:3902100000:2025-01,pp-country-scope-v1.0
BE,벨기에,observed_import_2025_01,approved,KCS_nitemtrade:3902100000:2025-01,pp-country-scope-v1.0
US,미국,observed_import_2025_01,approved,KCS_nitemtrade:3902100000:2025-01,pp-country-scope-v1.0
TW,대만,observed_import_2025_01,approved,KCS_nitemtrade:3902100000:2025-01,pp-country-scope-v1.0
MY,말레이시아,observed_import_2025_01,approved,KCS_nitemtrade:3902100000:2025-01,pp-country-scope-v1.0
ID,인도네시아,observed_import_2025_01,approved,KCS_nitemtrade:3902100000:2025-01,pp-country-scope-v1.0
IN,인도,observed_import_2025_01,approved,KCS_nitemtrade:3902100000:2025-01,pp-country-scope-v1.0
NL,네덜란드,observed_import_2025_01,approved,KCS_nitemtrade:3902100000:2025-01,pp-country-scope-v1.0
SA,,screened_zero_2025_01,approved,KCS_nitemtrade:3902100000:2025-01,pp-country-scope-v1.0
SG,,screened_zero_2025_01,approved,KCS_nitemtrade:3902100000:2025-01,pp-country-scope-v1.0
AE,,screened_zero_2025_01,approved,KCS_nitemtrade:3902100000:2025-01,pp-country-scope-v1.0
QA,,screened_zero_2025_01,approved,KCS_nitemtrade:3902100000:2025-01,pp-country-scope-v1.0
KW,,screened_zero_2025_01,approved,KCS_nitemtrade:3902100000:2025-01,pp-country-scope-v1.0
OM,,screened_zero_2025_01,approved,KCS_nitemtrade:3902100000:2025-01,pp-country-scope-v1.0
BH,,screened_zero_2025_01,approved,KCS_nitemtrade:3902100000:2025-01,pp-country-scope-v1.0
RU,,screened_zero_2025_01,approved,KCS_nitemtrade:3902100000:2025-01,pp-country-scope-v1.0
