물품코드,물품명,usage_qty,usage_value,unit_price,transactions,value_share,cumulative_share,abc_class,ved_class,rank
W642100700,삐콤정(1정)((주)유한양행)-1정,11084144.0,63391154.766,0.0,293697,0.030007063351639822,0.030007063351639822,A,,1
WA04500851,페니라민정2mg(유한양행)-1정,10314501.06,27006984.830000002,0.0,388810,0.02792348121316144,0.05793054456480126,A,,2
WA30601891,리나치올캅셀375mg(현대약품)-1캅셀,9139462.0,116065847.15799999,0.0,302172,0.024742408185413758,0.08267295275021502,A,,3
WA04500761,다이크로짇정(유한양행)-1정,9086420.3,6905020.85,0.0,207461,0.02459881336634801,0.10727176611656303,A,,4
WA11850181,삼남아세트아미노펜정500mg(삼남제약)-1정,5435455.3,17027145.92,0.0,199736,0.014714898284622288,0.12198666440118532,A,,5
WA11850831,아루펜정 400mg(삼남제약)-1정,4904948.0,50057589.11,0.0,171875,0.013278705633245024,0.13526537003443034,A,,6
W643900900,액티피드정(1정)(삼일제약(주))-1정,4400236.7,69036764.3195,0.0,218947,0.011912348072987012,0.14717771810741737,A,,7
WA20750181,신일티아민염산염정10mg(신일제약)-1정,4143062.9,9227375.36,0.0,155752,0.011216125567308454,0.1583938436747258,A,,8
WA18400091,한국넬슨이부프로펜정200mg(한국넬슨제약)-1정,3876117.65,9979073.805,0.0,144258,0.010493449731612947,0.16888729340633876,A,,9
W642000191,레보투스시럽(레보드로프로피진)_(60mg/10mL)(현대약품(주))-10mL/포,3546599.3,36007201.55,0.0,141576,0.009601375611682908,0.17848866901802168,A,,10
W073400360,노바스크정5밀리그람(암로디핀베실산염)_(6.944mg/1정)(비아트리스코리아(주))-1정,3318997.5,45812533.0,0.0,45476,0.008985210607732467,0.18747387962575415,A,,11
WA11800371,마그밀정(삼남제약)-1정,3161334.0,9224879.0,0.0,89858,0.008558383003116246,0.1960322626288704,A,,12
W656700682,레드로프시럽(레보드로프로피진)_(3g/500mL)(한국넬슨제약(주))-500(1)mL/병,3125680.0,41808.71,0.0,15006,0.00846186027328349,0.2044941229021539,A,,13
WA20700521,신일브롬헥신염산염정(신일제약)-1정,2829653.7,14959733.51,0.0,104202,0.007660456038743454,0.21215457894089737,A,,14
W698002140,암로닌정(암로디핀베실산염)(콜마파마(주))-1정,2731079.0,131111803.0,0.0,35085,0.0073935939998012595,0.21954817294069862,A,,15
