rank,물품코드,물품명,usage_qty,unit_price,value_share,cumulative_share,abc_class,ved_class
1,W642100700,삐콤정(1정)((주)유한양행)-1정,11084144.0,0.0,0.030007063351639822,0.030007063351639822,A,
2,WA04500851,페니라민정2mg(유한양행)-1정,10314501.06,0.0,0.02792348121316144,0.05793054456480126,A,
3,WA30601891,리나치올캅셀375mg(현대약품)-1캅셀,9139462.0,0.0,0.024742408185413758,0.08267295275021502,A,
4,WA04500761,다이크로짇정(유한양행)-1정,9086420.3,0.0,0.02459881336634801,0.10727176611656303,A,
5,WA11850181,삼남아세트아미노펜정500mg(삼남제약)-1정,5435455.3,0.0,0.014714898284622288,0.12198666440118532,A,
6,WA11850831,아루펜정 400mg(삼남제약)-1정,4904948.0,0.0,0.013278705633245024,0.13526537003443034,A,
7,W643900900,액티피드정(1정)(삼일제약(주))-1정,4400236.7,0.0,0.011912348072987012,0.14717771810741737,A,
8,WA20750181,신일티아민염산염정10mg(신일제약)-1정,4143062.9,0.0,0.011216125567308454,0.1583938436747258,A,
9,WA18400091,한국넬슨이부프로펜정200mg(한국넬슨제약)-1정,3876117.65,0.0,0.010493449731612947,0.16888729340633876,A,
10,W642000191,레보투스시럽(레보드로프로피진)_(60mg/10mL)(현대약품(주))-10mL/포,3546599.3,0.0,0.009601375611682908,0.17848866901802168,A,
11,W073400360,노바스크정5밀리그람(암로디핀베실산염)_(6.944mg/1정)(비아트리스코리아(주))-1정,3318997.5,0.0,0.008985210607732467,0.18747387962575415,A,
12,WA11800371,마그밀정(삼남제약)-1정,3161334.0,0.0,0.008558383003116246,0.1960322626288704,A,
13,W656700682,레드로프시럽(레보드로프로피진)_(3g/500mL)(한국넬슨제약(주))-500(1)mL/병,3125680.0,0.0,0.00846186027328349,0.2044941229021539,A,
14,WA20700521,신일브롬헥신염산염정(신일제약)-1정,2829653.7,0.0,0.007660456038743454,0.21215457894089737,A,
15,W698002140,암로닌정(암로디핀베실산염)(콜마파마(주))-1정,2731079.0,0.0,0.0073935939998012595,0.21954817294069862,A,
16,WMD0316901,베스타제당의정(동아제약)-1정(보훈급여),2650059.0,0.0,0.007174256153527352,0.22672242909422596,A,
17,W649001500,노바텐션정5밀리그램(암로디핀베실산염)(풍림무약(주))-1정,2433605.0,0.0,0.006588270542846378,0.23331069963707235,A,
18,W656205050,레토바정10밀리그램(아토르바스타틴칼슘수화물)_(10.85mg/1정)((주)바스칸바이오제약)-1정,2401590.0,0.0,0.006501599336373172,0.23981229897344553,A,
19,W627500090,티지피시메티딘정_(0.2g/1정)(해태에이치티비(주))-1정,2327010.0,0.0,0.006299695898023283,0.24611199487146881,A,
20,WA11801101,삼남 아세트아미노펜정(삼남제약)-1정,2324669.0,0.0,0.0062933583283105304,0.25240535319977936,A,
21,W669604690,암롤정(암로디핀베실산염)_(6.944mg/1정)((주)아이월드제약)-1정,2289910.0,0.0,0.006199258548026221,0.2586046117478056,A,
22,W642000192,레보투스시럽(레보드로프로피진)_(3g/500mL)(현대약품(주))-500(1)mL/병,2267570.7,0.0,0.0061387814565763725,0.26474339320438195,A,
23,WA08601481,이부펜정400mg(이부프로펜)_(0.4g/1정)(태극제약(주))-1정,2197610.75,0.0,0.005949385446227936,0.27069277865060987,A,
24,W689000210,암베스정(암로디핀베실산염)_(6.944mg/1정)((주)시어스제약)-1정,2118421.0,0.0,0.005735002464100447,0.27642778111471034,A,
25,W621801820,카민산250밀리그램정(클로르페네신카르바메이트)((주)한국파비스제약)-1정,2070620.8,0.0,0.00560559746632876,0.2820333785810391,A,
26,W648500980,바로코민정(1정)(신풍제약(주))-1정,1883248.5,0.0,0.005098342014176346,0.28713172059521547,A,
27,W663605760,베로디핀정(암로디핀베실산염)(한국프라임제약(주))-1정,1732570.0,0.0,0.004690424244862807,0.2918221448400783,A,
28,WA01205941,낙센에프정(종근당)-1정,1695431.9,0.0,0.0045898837503095475,0.29641202859038784,A,
29,W689000300,아르테크정10밀리그램(아토르바스타틴칼슘수화물)_(10.85mg/1정)((주)시어스제약)-1정,1649637.0,0.0,0.0044659075131294815,0.3008779361035173,A,
30,W670500540,보령바이오아스트릭스캡슐100밀리그램(아스피린장용과립)((주)보령바이오파마)-1캡슐,1615477.0,0.0,0.004373429349358601,0.3052513654528759,A,
31,W644603680,아실도핀정5mg(암로디핀베실산염)_(6.944mg/1정)(조아제약(주))-1정,1584467.5,0.0,0.004289480238718874,0.3095408456915948,A,
32,WA01508421,스티렌정(애엽95%에탄올연조엑스(20→1))_(60mg/1정)(동아에스티(주))-1정,1530140.0,0.0,0.004142404493921962,0.31368325018551674,A,
33,W679601110,노바디크정5밀리그램(암로디핀베실산염)_(6.944mg/1정)((주)서흥)-1정,1524702.5,0.0,0.004127684060212824,0.31781093424572954,A,
34,WA13353601,글루코젠정500mg(뉴젠팜)-1정,1522323.0,0.0,0.004121242263061395,0.3219321765087909,A,
35,W642101091,알마겔현탁액(알마게이트)(수출명:유만겔현탁액)((주)유한양행)-15mL/포,1404568.7,0.0,0.003802457092097539,0.32573463360088845,A,
36,WA04503981,알마겔정(유한양행)-1정,1347365.5,0.0,0.003647596234433066,0.3293822298353215,A,
37,W698500140,이텍스암브록솔정((주)테라젠이텍스)-1정,1332938.18,0.0,0.003608538504288602,0.3329907683396101,A,
38,WA04503701,알마겔현탁액(유한양행)-15ml/포,1328944.1,0.0,0.003597725706151776,0.3365884940457619,A,
39,WA03700711,위더스파모티딘정20mg(위더스제약)-1정,1265074.5,0.0,0.003424817529079744,0.34001331157484166,A,
40,WMD0325581,유한메트포르민서방정500mg(메트포르민염산염)-1정,1224539.5,0.0,0.0033150809257878056,0.34332839250062946,A,
41,WA21450811,한미아스피린장용정100mg(한미약품)-1정,1210673.0,0.0,0.003277541451024079,0.34660593395165357,A,
42,W653700060,게루삼정(1정)(삼남제약(주))-1정,1180544.0,0.0,0.0031959760354429065,0.3498019099870965,A,
43,WA23450341,프리나정(스카이뉴팜)-1정,1172923.0,0.0,0.0031753444169974184,0.3529772544040939,A,
44,WMD0328046,마미센스(신일제약)-1정,1169615.0,0.0,0.0031663889788898637,0.35614364338298377,A,
