raw_material_meta_code,hs_code,hs_item_name_ko,relation_type,mapping_weight,proxy_quality,review_status,approval_basis,proposal_reason,evidence_reference,valid_from,valid_to,mapping_version
NATURAL_RUBBER_LATEX,4001100000,천연고무의 라텍스[프리-벌커나이즈된(pre-vulcanised) 것인지에 상관없다],direct_active_ingredient,1.0,1.0,pending,hsk_official_name_match_pending_review,천연고무 라텍스 그 자체,관세청_HS부호_20260101 (hsk_reference_2026),2024-01-01,2026-12-31,material-hs-candidate-v1-pending-review
NATURAL_RUBBER_LATEX,4001220000,공업 규격화된 천연고무(TSNR),upstream_material_input,1.0,0.7,pending,hsk_official_name_match_pending_review,공업규격 천연고무(TSNR) — 라텍스 이외 형태,관세청_HS부호_20260101 (hsk_reference_2026),2024-01-01,2026-12-31,material-hs-candidate-v1-pending-review
SYNTHETIC_NITRILE_RUBBER,4002110000,라텍스,direct_active_ingredient,1.0,1.0,pending,hsk_official_name_match_pending_review,합성고무 라텍스(4002호 = 합성고무),관세청_HS부호_20260101 (hsk_reference_2026),2024-01-01,2026-12-31,material-hs-candidate-v1-pending-review
SYNTHETIC_NITRILE_RUBBER,2926100000,아크릴로니트릴,upstream_material_input,1.0,0.6,pending,hsk_official_name_match_pending_review,아크릴로니트릴 — 니트릴고무 단량체,관세청_HS부호_20260101 (hsk_reference_2026),2024-01-01,2026-12-31,material-hs-candidate-v1-pending-review
NONWOVEN_FABRIC_SPUNBOND,5603119000,기타,direct_active_ingredient,1.0,1.0,pending,hsk_official_name_match_pending_review,"부직포(5603호), 인조필라멘트 25g/m2 이하",관세청_HS부호_20260101 (hsk_reference_2026),2024-01-01,2026-12-31,material-hs-candidate-v1-pending-review
NONWOVEN_FABRIC_SPUNBOND,5603129000,기타,direct_active_ingredient,1.0,1.0,pending,hsk_official_name_match_pending_review,"부직포(5603호), 25~70g/m2",관세청_HS부호_20260101 (hsk_reference_2026),2024-01-01,2026-12-31,material-hs-candidate-v1-pending-review
NONWOVEN_FABRIC_SPUNBOND,5603139000,기타,direct_active_ingredient,1.0,1.0,pending,hsk_official_name_match_pending_review,"부직포(5603호), 70~150g/m2",관세청_HS부호_20260101 (hsk_reference_2026),2024-01-01,2026-12-31,material-hs-candidate-v1-pending-review
ETHANOL,2207200000,변성 에틸알코올과 그 밖의 변성 주정(알코올의 용량은 상관없다),direct_active_ingredient,1.0,1.0,pending,hsk_official_name_match_pending_review,변성 에틸알코올 — 소독용 원료,관세청_HS부호_20260101 (hsk_reference_2026),2024-01-01,2026-12-31,material-hs-candidate-v1-pending-review
STAINLESS_STEEL,7222200000,봉[냉간(冷間)성형이나 냉간(冷間)처리보다 더 가공하지 않은 것으로 한정한다],direct_active_ingredient,1.0,1.0,pending,hsk_official_name_match_pending_review,스테인리스강 봉(냉간성형),관세청_HS부호_20260101 (hsk_reference_2026),2024-01-01,2026-12-31,material-hs-candidate-v1-pending-review
STAINLESS_STEEL,7223000000,스테인리스강의 선(線),direct_active_ingredient,1.0,0.9,pending,hsk_official_name_match_pending_review,스테인리스강 선,관세청_HS부호_20260101 (hsk_reference_2026),2024-01-01,2026-12-31,material-hs-candidate-v1-pending-review
POLYESTER_FIBER,5503209000,기타,direct_active_ingredient,1.0,1.0,pending,hsk_official_name_match_pending_review,폴리에스테르 스테이플 섬유(일반),관세청_HS부호_20260101 (hsk_reference_2026),2024-01-01,2026-12-31,material-hs-candidate-v1-pending-review
COTTON_FIBER,5201009030,섬유 길이가 25.4밀리미터 이상 28.5밀리미터 미만인 것,direct_active_ingredient,1.0,0.8,pending,hsk_official_name_match_pending_review,면 원면 25.4~28.5mm — 규격 확인 필요,관세청_HS부호_20260101 (hsk_reference_2026),2024-01-01,2026-12-31,material-hs-candidate-v1-pending-review
COTTON_FIBER,5201009050,섬유 길이가 28.5밀리미터 이상 34.9밀리미터 미만인 것,direct_active_ingredient,1.0,0.8,pending,hsk_official_name_match_pending_review,면 원면 28.5~34.9mm — 규격 확인 필요,관세청_HS부호_20260101 (hsk_reference_2026),2024-01-01,2026-12-31,material-hs-candidate-v1-pending-review
PARAFFIN_PETROLEUM,2712101000,바셀린,upstream_material_input,1.0,0.7,pending,hsk_official_name_match_pending_review,바셀린 — 연고 기제,관세청_HS부호_20260101 (hsk_reference_2026),2024-01-01,2026-12-31,material-hs-candidate-v1-pending-review
