standard_item_key,item_name,raw_material_meta_code,raw_material_risk_meta_code,demand_risk_meta_code,mapping_weight,exposure_score,source_rows,review_status,mapping_version
NAME::ITEM_0009c0532996a214dac5,칸타칸정16밀리그램(칸데사르탄실렉세틸)((주)셀트리온제약)-1정,CANDESARTAN_CILEXETIL,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,8,pending,material-standard-axis-v1-pending-review
NAME::ITEM_000e57d88600701a8988,바로스크정10밀리그램(암로디핀베실산염)_(13.888mg/1정)(현대약품(주))-1정,AMLODIPINE,API_IMPORT_DEPENDENCY_CN_IN,CHRONIC_DISEASE_STRUCTURAL_TREND,0.35,0.35,55,pending,material-standard-axis-v1-pending-review
NAME::ITEM_001480dc4cecf6f406a3,넥세라정20밀리그램(에스오메프라졸마그네슘이수화물)_(21.69mg/1정)((주)화이트생명과학)-1정,ESOMEPRAZOLE,MINERAL_RAWMATERIAL_GENERIC;API_IMPORT_DEPENDENCY_CN_IN,LIFESTYLE_CALENDAR_EVENT;SEASONAL_CLIMATE_PATTERN,0.35,0.35,7,pending,material-standard-axis-v1-pending-review
NAME::ITEM_00352181b013eb3c7523,Vit,MATERIAL_UNSPECIFIED,UNCLASSIFIED_MATERIAL_RISK,NOT_APPLICABLE,0.05,0.05,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_0038f8de78d112aa4a2f,뉴로가발린캡슐75밀리그램(프레가발린)_(75mg/1캡슐)((주)마더스제약)-1캡슐,PREGABALIN,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_0041979da2381c3c36e6,대웅바이오에페리손정(에페리손염산염)(대웅바이오(주))-1정,EPERISONE,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.35,0.35,17,pending,material-standard-axis-v1-pending-review
NAME::ITEM_004f676b959b9363ffe3,메가트루포커스정(유한양행),VITAMIN_B_COMPLEX,CHINA_VITAMIN_RAWMATERIAL_CONCENTRATION,SEASONAL_CLIMATE_PATTERN;GOV_POLICY_PROGRAM_EXPANSION,0.35,0.35,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_00521864b56b5589df3f,유턴정16mg(베타히스틴염산염)_(16mg/1정)(명인제약(주))-1정,BETAHISTINE,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_0060c768420ce0afb3e9,로스타정5mg(로수바스타틴칼슘)_(5.2mg/1정)((주)알피바이오)-1정,ROSUVASTATIN,API_IMPORT_DEPENDENCY_CN_IN,CHRONIC_DISEASE_STRUCTURAL_TREND,0.35,0.35,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_0064f0e1e4ab03bc4024,온글라이자정5밀리그램(삭사글립틴수화물)(한국아스트라제네카(주))-1정,SAXAGLIPTIN,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,25,pending,material-standard-axis-v1-pending-review
NAME::ITEM_00830b315aebb07ffaa2,암로텔미정80/5밀리그램(알리코제약(주))-1정,TELMISARTAN_AMLODIPINE,API_IMPORT_DEPENDENCY_CN_IN,CHRONIC_DISEASE_STRUCTURAL_TREND,0.35,0.35,22,pending,material-standard-axis-v1-pending-review
NAME::ITEM_00869ae4d7c7c727d7ef,RMP600mg,RIFAMPIN,API_IMPORT_DEPENDENCY_CN_IN,GOV_POLICY_PROGRAM_EXPANSION;INFECTIOUS_DISEASE_OUTBREAK,0.35,0.35,3,pending,material-standard-axis-v1-pending-review
NAME::ITEM_0095298cfd5530001e63,로수민정10밀리그램(로수바스타틴칼슘)_(10.4mg/1정)((주)넥스팜코리아)-1정,ROSUVASTATIN,API_IMPORT_DEPENDENCY_CN_IN,CHRONIC_DISEASE_STRUCTURAL_TREND,0.35,0.35,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_00a7fb9504b229120143,챔프코프액(5mL)(동아제약(주))-5mL/포,MATERIAL_UNSPECIFIED,UNCLASSIFIED_MATERIAL_RISK,NOT_APPLICABLE,0.05,0.05,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_00afcfdf9cded679eca4,"시타플러스서방정100/1000밀리그램(시타글립틴,메트포르민)_(1정)((주)씨엠지제약)-1정",METFORMIN,API_IMPORT_DEPENDENCY_CN_IN,CHRONIC_DISEASE_STRUCTURAL_TREND,0.35,0.35,2,pending,material-standard-axis-v1-pending-review
NAME::ITEM_00b6714028455e3be92b,가다실9 프리필드시린지 0.5ml(한국엠에스디),PHARMA_API_GENERIC,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.15,0.15,2,pending,material-standard-axis-v1-pending-review
NAME::ITEM_00c1460a3be487e3f9ed,그린관장약(농글리세린)(수출명:FIT-APO)_(10g/20mL)((주)그린제약)-20mL/병,GLYCERIN,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,9,pending,material-standard-axis-v1-pending-review
NAME::ITEM_00cf6ae6e91ddc69605a,유니알점안액(히알우론산나트륨)_(10mg/10mL)(유니메드제약(주))-10mL/병,SODIUM_HYALURONATE,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_00d95f0765f361e45e18,훼리너프(녹십자)-1캡슐,IRON_MINERAL_COMPOUND,CHINA_VITAMIN_RAWMATERIAL_CONCENTRATION,SEASONAL_CLIMATE_PATTERN;GOV_POLICY_PROGRAM_EXPANSION,0.5,0.5,4,pending,material-standard-axis-v1-pending-review
NAME::ITEM_00d9c20033c9385507ee,비치라이트주 II (글루타티온환원형)(06g/1병)((주)휴온스)-1병,GLUTATHIONE,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_00f21d9d020e985e3f3b,리팜피신(150mg),MATERIAL_UNSPECIFIED,UNCLASSIFIED_MATERIAL_RISK,NOT_APPLICABLE,0.05,0.05,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_011909f6f7c7802f90de,팜스빌(엽산),FOLIC_ACID,CHINA_VITAMIN_RAWMATERIAL_CONCENTRATION,SEASONAL_CLIMATE_PATTERN;GOV_POLICY_PROGRAM_EXPANSION,0.35,0.35,139,pending,material-standard-axis-v1-pending-review
NAME::ITEM_012083bcdca6bfff566d,레도핀정(염산레르카니디핀)((주)한국파비스제약)-1정,LERCANIDIPINE,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_012d4ef31c5847d15f8d,클래리시드건조시럽250mg/5mL(클래리트로마이신)_(3.5g/70mL)(한국애보트(주))-70(1)mL/병,CLARITHROMYCIN,API_IMPORT_DEPENDENCY_CN_IN,INFECTIOUS_DISEASE_OUTBREAK,0.35,0.35,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_013975aa8658d4b3d31c,다이아벡스250mg,METFORMIN,API_IMPORT_DEPENDENCY_CN_IN,CHRONIC_DISEASE_STRUCTURAL_TREND,0.35,0.35,2,pending,material-standard-axis-v1-pending-review
NAME::ITEM_015459d339e91726cbfb,이노엔비타메진캡슐(1캡슐)(에이치케이이노엔(주))-1캡슐,VITAMIN_B_COMPLEX,CHINA_VITAMIN_RAWMATERIAL_CONCENTRATION,SEASONAL_CLIMATE_PATTERN;GOV_POLICY_PROGRAM_EXPANSION,0.35,0.35,16,pending,material-standard-axis-v1-pending-review
NAME::ITEM_015ef7487964781d7744,마미폴 엽산,FOLIC_ACID,CHINA_VITAMIN_RAWMATERIAL_CONCENTRATION,SEASONAL_CLIMATE_PATTERN;GOV_POLICY_PROGRAM_EXPANSION,0.35,0.35,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_01753b6c6f251d75c65d,박씨그리프테트라주(인플루엔자분할백신)(05mL)(사노피파스퇴르(주))-0.5mL/관,INFLUENZA_SPLIT_VACCINE,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,3,pending,material-standard-axis-v1-pending-review
NAME::ITEM_0175813d0b482a8d616f,노바스크정2.5밀리그램(암로디핀베실산염)_(3.472mg/1정)(비아트리스코리아(주))-1정,AMLODIPINE,API_IMPORT_DEPENDENCY_CN_IN,CHRONIC_DISEASE_STRUCTURAL_TREND,0.35,0.35,131,pending,material-standard-axis-v1-pending-review
NAME::ITEM_01759b2549a916daa7c6,케이그렐정(클로피도그렐황산수소염)((주)한국코러스제약)-1정,CLOPIDOGREL,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,2,pending,material-standard-axis-v1-pending-review
NAME::ITEM_017a3938c51ba82379d2,디티부스터에스에스아이주,PHARMA_API_GENERIC,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.15,0.15,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_017fb63fa5d62939299f,이텍스니자티딘캡슐150밀리그램_(0.15g/1캡슐)((주)테라젠이텍스)-1캡슐,NIZATIDINE,MINERAL_RAWMATERIAL_GENERIC;API_IMPORT_DEPENDENCY_CN_IN,LIFESTYLE_CALENDAR_EVENT;SEASONAL_CLIMATE_PATTERN,0.35,0.35,13,pending,material-standard-axis-v1-pending-review
NAME::ITEM_01842bf5e04ad5062e46,임산부엽산제(건강기능식품),FOLIC_ACID,CHINA_VITAMIN_RAWMATERIAL_CONCENTRATION,SEASONAL_CLIMATE_PATTERN;GOV_POLICY_PROGRAM_EXPANSION,0.35,0.35,8,pending,material-standard-axis-v1-pending-review
NAME::ITEM_019057e0abde748973d6,중외헤파린나트륨주사액1000아이유(제이더블유중외제약(주))-20mL/병,PHARMA_API_GENERIC,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.15,0.15,2,pending,material-standard-axis-v1-pending-review
NAME::ITEM_019fb66dcb003758a1a8,동광이반드론산주(이반드론산나트륨일수화물)_(3.375mg/3mL)(동광제약(주))-3mL/관,IBANDRONATE,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_01d9b66310998519bcbe,아미클란정375밀리그램(아목시실린수화물.묽은클라불란산칼륨)(2:1)_(1정)(아주약품(주))-1정,AMOXICILLIN_CLAVULANATE,API_IMPORT_DEPENDENCY_CN_IN,INFECTIOUS_DISEASE_OUTBREAK,0.35,0.35,7,pending,material-standard-axis-v1-pending-review
NAME::ITEM_01da1a1101cf0227938b,로수브이정10mg(로수바스타틴칼슘)(위더스제약(주))-1정,ROSUVASTATIN,API_IMPORT_DEPENDENCY_CN_IN,CHRONIC_DISEASE_STRUCTURAL_TREND,0.35,0.35,9,pending,material-standard-axis-v1-pending-review
NAME::ITEM_01db5ded9f886975a694,아페코정10밀리그램(아토르바스타틴칼슘)(국제약품공업(주))-1정,ATORVASTATIN,API_IMPORT_DEPENDENCY_CN_IN,CHRONIC_DISEASE_STRUCTURAL_TREND,0.35,0.35,2,pending,material-standard-axis-v1-pending-review
NAME::ITEM_020582c4348c9b3f2f78,대상포진 조스타박스,MATERIAL_UNSPECIFIED,UNCLASSIFIED_MATERIAL_RISK,NOT_APPLICABLE,0.05,0.05,4,pending,material-standard-axis-v1-pending-review
NAME::ITEM_0217107b178a63ca587b,"자누플로멧서방정10/100/1000밀리그램(다파글리플로진,시타글립틴,메트포르민)_(1정)(대웅바이오(주))-1정",METFORMIN,API_IMPORT_DEPENDENCY_CN_IN,CHRONIC_DISEASE_STRUCTURAL_TREND,0.35,0.35,2,pending,material-standard-axis-v1-pending-review
NAME::ITEM_0225848070da53e629ed,독시엔디정(독시사이클린수화물)((주)티디에스팜)-1정,DOXYCYCLINE,API_IMPORT_DEPENDENCY_CN_IN,INFECTIOUS_DISEASE_OUTBREAK,0.35,0.35,8,pending,material-standard-axis-v1-pending-review
NAME::ITEM_02312b7acdfefe5b5d8e,콜리아틴연질캡슐(콜린알포세레이트)_(0.4g/1캡슐)(알리코제약(주))-1캡슐,CHOLINE_ALFOSCERATE,CHINA_VITAMIN_RAWMATERIAL_CONCENTRATION,SEASONAL_CLIMATE_PATTERN;GOV_POLICY_PROGRAM_EXPANSION,0.35,0.35,21,pending,material-standard-axis-v1-pending-review
NAME::ITEM_02364944f862b86bff8c,잘레딥캡슐5밀리그램(잘레플론)_(5mg/1캡슐)(부광약품(주))-1캡슐,ZALEPLON,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_02556c3be13de2a253e1,아페손SR서방정(에페리손염산염)_(75mg/1정)(한국프라임제약(주))-1정,EPERISONE,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.35,0.35,6,pending,material-standard-axis-v1-pending-review
NAME::ITEM_026bdc9a2670d64169c5,마이팜염산암브록솔정(한국마이팜제약)-1정,AMBROXOL,API_IMPORT_DEPENDENCY_CN_IN,INFECTIOUS_DISEASE_OUTBREAK;SEASONAL_CLIMATE_PATTERN,0.35,0.35,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_02732691d94f9853b11c,리마프리정(리마프로스트알파덱스)((주)한국글로벌제약)-1정,LIMAPROST,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,2,pending,material-standard-axis-v1-pending-review
NAME::ITEM_027599d8092d412ef8ef,콤비플렉스리피드페리주1440ml(중외제약)-1440ml/백,PARENTERAL_NUTRITION,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_027633ce83343c90dfc6,큐알론점안액0.15%(히알루론산나트륨)_(0.45mg/0.3mL)(국제약품공업(주))-0.3mL/관,SODIUM_HYALURONATE,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_0280b879a5956336eefb,코싹엘정(한미약품(주))-1정,LEVOCETIRIZINE,API_IMPORT_DEPENDENCY_CN_IN,SEASONAL_CLIMATE_PATTERN;INFECTIOUS_DISEASE_OUTBREAK,0.35,0.35,99,pending,material-standard-axis-v1-pending-review
NAME::ITEM_029168118c8a129659a7,루카스트정10밀리그램(몬테루카스트나트륨)_(10.4mg/1정)(우리들제약(주))-1정,MONTELUKAST,API_IMPORT_DEPENDENCY_CN_IN,INFECTIOUS_DISEASE_OUTBREAK;SEASONAL_CLIMATE_PATTERN,0.35,0.35,3,pending,material-standard-axis-v1-pending-review
NAME::ITEM_029c85b2962751107fb0,폴시드정(조아제약)-30정,FOLIC_ACID,CHINA_VITAMIN_RAWMATERIAL_CONCENTRATION,SEASONAL_CLIMATE_PATTERN;GOV_POLICY_PROGRAM_EXPANSION,0.35,0.35,77,pending,material-standard-axis-v1-pending-review
NAME::ITEM_02ccc166d7d20a90d5b2,세프다나캡슐100밀리그램(세프디니르)(대웅바이오(주))-1캡슐,CEFDINIR,API_IMPORT_DEPENDENCY_CN_IN,INFECTIOUS_DISEASE_OUTBREAK,0.35,0.35,2,pending,material-standard-axis-v1-pending-review
NAME::ITEM_02d84e0990eea37a29b9,씨르텔미플러스정80/12.5밀리그램_(1정)(에이치엘비제약(주))-1정,TELMISARTAN_HCTZ,API_IMPORT_DEPENDENCY_CN_IN,CHRONIC_DISEASE_STRUCTURAL_TREND,0.35,0.35,4,pending,material-standard-axis-v1-pending-review
NAME::ITEM_02dd50edfb0072a409da,대웅레보플록사신점안액0.5%(레보플록사신수화물)_(25mg/5mL)((주)대웅제약)-5mL/병,LEVOFLOXACIN,API_IMPORT_DEPENDENCY_CN_IN,INFECTIOUS_DISEASE_OUTBREAK,0.35,0.35,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_02e5bd7daa903415f4a5,휴온스아목시크라정625밀리그램(아목시실린수화물·묽은클라불란산칼륨)_(1정)((주)휴온스)-1정,AMOXICILLIN_CLAVULANATE,API_IMPORT_DEPENDENCY_CN_IN,INFECTIOUS_DISEASE_OUTBREAK,0.35,0.35,29,pending,material-standard-axis-v1-pending-review
