standard_item_key,item_names,materials,material_count,rows
NAME::ITEM_0a018547150a40487249,베스타제당의정 | 베스타제당의정(동아제약) - 1정 | 베스타제당의정(동아제약)-1정(보훈급여),MICROBIAL_FUNGAL_ENZYME | PANCREATIN_ANIMAL_ENZYME,2,2312
NAME::ITEM_2ca9d75815d8024a81a4,아시클로버크림(태극제약)-5g | 아시클로버크림_(0.25g/5g)(태극제약(주))-5g/개 | 태극아시클로버크림(태극제약)-5g/개,ACYCLOVIR | PARAFFIN_PETROLEUM,2,1930
NAME::ITEM_b74c0fddec2f49a472ae,아시클로버크림(태극제약)-5g | 아시클로버크림_(0.25g/5g)(태극제약(주))-5g/개 | 태극아시클로버크림(태극제약)-5g/개,ACYCLOVIR | PARAFFIN_PETROLEUM,2,1930
NAME::ITEM_c239fc460ae8ff96bd08,아시클로버크림(태극제약)-5g | 아시클로버크림_(0.25g/5g)(태극제약(주))-5g/개 | 태극아시클로버크림(태극제약)-5g/개,ACYCLOVIR | PARAFFIN_PETROLEUM,2,1930
NAME::ITEM_30e4be86d7fc5ec60aa7,아시클로버크림(태극제약)-5g | 아시클로버크림_(0.25g/5g)(태극제약(주))-5g/개 | 태극아시클로버크림(태극제약)-5g/개,ACYCLOVIR | PARAFFIN_PETROLEUM,2,1930
NAME::ITEM_17783fc7212c7ff5a748,베스타제당의정(동아제약) - 1정 | 베스타제당의정(동아제약)-1정(보훈급여),MICROBIAL_FUNGAL_ENZYME | PANCREATIN_ANIMAL_ENZYME,2,1798
NAME::ITEM_eeaab984d9703de68244,알마겔현탁액(알마게이트)((주)유한양행)-15mL/포 | 알마겔현탁액(알마게이트)(수출명:유만겔현탁액)((주)유한양행)-15mL/포 | 알마겔현탁액-15ml,ALUMINUM_HYDROXIDE_MINERAL | MAGNESIUM_HYDROXIDE_MINERAL,2,1700
NAME::ITEM_8d2fccb8fc753dcd7638,알마겔현탁액(알마게이트)((주)유한양행)-15mL/포 | 알마겔현탁액(알마게이트)(수출명:유만겔현탁액)((주)유한양행)-15mL/포,ALUMINUM_HYDROXIDE_MINERAL | MAGNESIUM_HYDROXIDE_MINERAL,2,1698
NAME::ITEM_daba6ea7d89815c0ede3,알마겔현탁액(알마게이트)((주)유한양행)-15mL/포 | 알마겔현탁액(알마게이트)(수출명:유만겔현탁액)((주)유한양행)-15mL/포,ALUMINUM_HYDROXIDE_MINERAL | MAGNESIUM_HYDROXIDE_MINERAL,2,1698
NAME::ITEM_0aa83f8f6209d9e70113,삐콤씨정 | 삐콤정(1정)((주)유한양행)-1정 | 삐콤정(유한양행),VITAMIN_B_COMPLEX | VITAMIN_B_COMPLEX_C,2,1614
NAME::ITEM_7ab057b1473f656e6675,카네스텐크림(바이엘코리아)-20g/개 | 카네스텐크림(클로트리마졸)_(0.2g/20g)(바이엘코리아(주))-20g/개,CLOTRIMAZOLE | PARAFFIN_PETROLEUM,2,1522
NAME::ITEM_ce689395edd481f72757,카네스텐크림(바이엘코리아)-20g/개 | 카네스텐크림(클로트리마졸)_(0.2g/20g)(바이엘코리아(주))-20g/개,CLOTRIMAZOLE | PARAFFIN_PETROLEUM,2,1522
NAME::ITEM_20ac9cb0e9ef1dffd350,더마톱연고0.25%(프레드니카르베이트)_(25mg/10g)((주)한독)-10g/개 | 더마톱연고0.25%(한독)-10g/개,PARAFFIN_PETROLEUM | PREDNICARBATE,2,1486
NAME::ITEM_1d2d70628c50a8df033c,더마톱연고0.25%(프레드니카르베이트)_(25mg/10g)((주)한독)-10g/개 | 더마톱연고0.25%(한독)-10g/개,PARAFFIN_PETROLEUM | PREDNICARBATE,2,1486
NAME::ITEM_4744bc1950d243b75a8a,제일덱사메타손주사액 1mL | 제일덱사메타손주사액(덱사메타손디나트륨인산염)((주)제일제약)-1mL/앰플 | 제일덱사메타손주사액(덱사메타손디나트륨인산염)((주)제일제약)-5mg/1mL/앰플,DEXAMETHASONE | PARAFFIN_PETROLEUM,2,1398
NAME::ITEM_31aa705a253958f43461,제일덱사메타손주사액 1mL | 제일덱사메타손주사액(덱사메타손디나트륨인산염)((주)제일제약)-1mL/앰플 | 제일덱사메타손주사액(덱사메타손디나트륨인산염)((주)제일제약)-5mg/1mL/앰플,DEXAMETHASONE | PARAFFIN_PETROLEUM,2,1398
NAME::ITEM_6861928ce205b64e1bcf,제일덱사메타손주사액 1mL | 제일덱사메타손주사액(덱사메타손디나트륨인산염)((주)제일제약)-1mL/앰플 | 제일덱사메타손주사액(덱사메타손디나트륨인산염)((주)제일제약)-5mg/1mL/앰플,DEXAMETHASONE | PARAFFIN_PETROLEUM,2,1398
