section,role,model_or_policy,cohort,metric,value,unit,period,status,source
demand_forecast,champion,usage_only_l1,all,N,605438.0,count_or_units,2025-08~2025-12,research_primary,outputs/stock_evaluation_report.csv
demand_forecast,champion,usage_only_l1,all,WAPE,35.71422351784848,percent,2025-08~2025-12,research_primary,outputs/stock_evaluation_report.csv
demand_forecast,champion,usage_only_l1,all,BIAS_PCT,-9.616769742317013,percent,2025-08~2025-12,research_primary,outputs/stock_evaluation_report.csv
demand_forecast,champion,usage_only_l1,all,RMSE,206.59065855452883,count_or_units,2025-08~2025-12,research_primary,outputs/stock_evaluation_report.csv
inventory_policy,challenger,fixed_l1_50_tweedie_50,quality_eligible,test_WAPE,36.17963637731045,percent_or_units,2025-10~2025-12,not_applied_reused_evaluation,outputs/forecast_bias_inventory_backtest_summary.json
inventory_policy,challenger,fixed_l1_50_tweedie_50,quality_eligible,test_BIAS_PCT,-3.920354899030817,percent_or_units,2025-10~2025-12,not_applied_reused_evaluation,outputs/forecast_bias_inventory_backtest_summary.json
inventory_policy,challenger,fixed_l1_50_tweedie_50,quality_eligible,fill_rate,0.9802028336718015,ratio,2025-10~2025-12,not_applied_reused_evaluation,outputs/forecast_bias_inventory_backtest_summary.json
inventory_policy,challenger,fixed_l1_50_tweedie_50,quality_eligible,stockout_series_month_rate,0.02282408013142018,ratio,2025-10~2025-12,not_applied_reused_evaluation,outputs/forecast_bias_inventory_backtest_summary.json
inventory_policy,challenger,fixed_l1_50_tweedie_50,quality_eligible,order_sum,14451946.368573604,percent_or_units,2025-10~2025-12,not_applied_reused_evaluation,outputs/forecast_bias_inventory_backtest_summary.json
external_signal_ablation,diagnostic,stock_model_a_usage_only,all,N,2807846.0,count,2024-07~2025-12 folds,not_applied,outputs/external_shock_experiment_report.csv
external_signal_ablation,diagnostic,stock_model_a_usage_only,all,WAPE,36.96636261522394,percent,2024-07~2025-12 folds,not_applied,outputs/external_shock_experiment_report.csv
external_signal_ablation,diagnostic,stock_model_a_usage_only,all,BIAS_PCT,-6.36095340521599,percent,2024-07~2025-12 folds,not_applied,outputs/external_shock_experiment_report.csv
external_signal_ablation,diagnostic,stock_model_a_usage_only,external_signal_connected,N,15088.0,count,2024-07~2025-12 folds,not_applied,outputs/external_shock_experiment_report.csv
external_signal_ablation,diagnostic,stock_model_a_usage_only,external_signal_connected,WAPE,41.8397705361825,percent,2024-07~2025-12 folds,not_applied,outputs/external_shock_experiment_report.csv
external_signal_ablation,diagnostic,stock_model_a_usage_only,external_signal_connected,BIAS_PCT,-4.858068431000124,percent,2024-07~2025-12 folds,not_applied,outputs/external_shock_experiment_report.csv
external_signal_ablation,diagnostic,stock_model_a_usage_only,non_shock_lt_0_8,N,2801514.0,count,2024-07~2025-12 folds,not_applied,outputs/external_shock_experiment_report.csv
external_signal_ablation,diagnostic,stock_model_a_usage_only,non_shock_lt_0_8,WAPE,36.96525941754056,percent,2024-07~2025-12 folds,not_applied,outputs/external_shock_experiment_report.csv
external_signal_ablation,diagnostic,stock_model_a_usage_only,non_shock_lt_0_8,BIAS_PCT,-6.361424653275945,percent,2024-07~2025-12 folds,not_applied,outputs/external_shock_experiment_report.csv
external_signal_ablation,diagnostic,stock_model_a_usage_only,strong_shock_ge_0_8,N,6332.0,count,2024-07~2025-12 folds,not_applied,outputs/external_shock_experiment_report.csv
external_signal_ablation,diagnostic,stock_model_a_usage_only,strong_shock_ge_0_8,WAPE,42.47859578397557,percent,2024-07~2025-12 folds,not_applied,outputs/external_shock_experiment_report.csv
