rprsntDtilPrdctClsfcNo,rprsntDtilPrdctClsfcNoNm,n,mean,p25,median,p75,p90
5131030101,백신,9746,30.0,30.0,30.0,30.0,30.0
5132030301,의료용살충제,8347,30.4,30.0,30.0,30.0,30.0
4217210101,저출력심장충격기,716,30.5,30.0,30.0,30.0,30.0
1216199001,분사제,490,30.3,30.0,30.0,30.0,30.0
1019170301,포충기,441,30.0,30.0,30.0,30.0,30.0
3017169801,금속제창,430,92.5,60.0,60.0,104.0,218.5000000000001
4010178701,히트펌프용실내기,382,82.5,60.0,60.0,91.0,146.80000000000007
5611210201,작업용의자,361,31.0,30.0,30.0,30.0,31.0
4618240101,방역용소독기,345,30.0,30.0,30.0,30.0,30.0
4218160201,자동전자혈압계,298,30.2,30.0,30.0,30.0,31.0
4810181901,손소독기,264,30.8,30.0,30.0,30.0,30.0
2413150101,냉장고,258,32.4,30.0,30.0,30.0,31.0
3911210201,LED실내조명등,241,61.7,30.0,30.0,67.0,123.0
4618200103,보건용마스크,223,20.2,20.0,20.0,20.0,21.0
5132030201,감염병예방용방역살균소독제,223,30.0,30.0,30.0,30.0,30.0
5127061001,손소독제,215,10.6,10.0,10.0,10.0,11.0
3011150501,레미콘,203,114.8,20.0,60.0,213.0,277.8
4010160201,공기순환기,200,101.2,53.75,87.0,109.25,218.59999999999997
4010180601,전기히트펌프,198,82.8,60.0,60.0,81.0,140.60000000000002
4410160301,문서세단기,183,16.7,15.0,15.0,15.0,15.0
5610153001,캐비닛,178,34.7,30.0,30.0,30.0,31.0
4321150301,노트북컴퓨터,172,30.4,30.0,30.0,30.0,30.0
5611160101,사무실칸막이,170,33.1,30.0,30.0,30.0,31.0
1411170401,화장실용화장지,169,14.9,15.0,15.0,15.0,15.0
1411150701,프린트및복사용지,164,15.1,15.0,15.0,15.0,15.0
7215129901,냉난방공조공사,160,72.6,30.0,60.0,87.5,144.69999999999985
4410150301,다기능복사기,157,29.3,30.0,30.0,30.0,30.0
4712160201,진공청소기,150,40.0,40.0,40.0,40.0,41.0
5610170301,책상,149,31.4,30.0,30.0,30.0,31.0
1411170301,종이타월,143,15.0,15.0,15.0,15.0,15.0
4218270501,체지방측정기,143,30.5,30.0,30.0,30.0,30.0
1216400101,살균제,137,30.1,30.0,30.0,30.0,30.0
2611160701,태양광발전장치,134,104.2,60.0,75.0,109.0,205.4
