model,N,ACTUAL_SUM,PREDICTION_SUM,MAE,RMSE,RMSLE,MAPE,SMAPE,WAPE,BIAS,BIAS_PCT,ZERO_ACTUAL_RATE
predicted_usage,605437,82421671.91649999,78184870.79033975,50.28452912982861,196.46376237913356,0.7927508989059842,92.06490219655929,85.37399541022039,36.937026093839094,-6.9979223703873705,-5.140396970413881,24.366862282946038
temporal_ensemble_pred,605437,82421671.91649999,78184870.79033975,50.28452912982861,196.46376237913356,0.7927508989059842,92.06490219655929,85.37399541022039,36.937026093839094,-6.9979223703873705,-5.140396970413881,24.366862282946038
stock_model_a_usage_tweedie_pred,605437,82421671.91649999,80836194.21308756,50.63992260781145,185.84388344131122,0.8215269701480473,101.68983598008165,86.34016695939503,37.198084085173555,-2.618732755699503,-1.923617498342729,24.366862282946038
stock_model_c_news_commodity_pred,605437,82421671.91649999,80848106.7260279,50.662367147564076,186.4411351198752,0.8213473838547295,101.60888875502718,86.32516423234897,37.21457095628189,-2.599056863839019,-1.909164366462056,24.366862282946038
stock_model_b_news_pred,605437,82421671.91649999,80916705.3528554,50.68229775245279,187.43577795151356,0.8215265891662317,102.16250429755804,86.36435317112834,37.22921119027791,-2.4857525450948823,-1.8259354956658054,24.366862282946038
stock_model_d_module_c_pred,605437,82421671.91649999,80820425.81604761,50.777524924823176,187.66389178354137,0.8221918436490567,101.97341213306548,86.38460816775412,37.29916130438966,-2.644777409461952,-1.9427488708001144,24.366862282946038
stock_model_a_usage_only_pred,605437,82421671.91649999,72057912.72175732,51.720159782697614,266.15523363425524,0.7637069576435578,76.83409133891185,84.93246004004725,37.991583585055245,-17.117816048148175,-12.574070573625363,24.366862282946038
baseline_rolling_mean_3_pred,605437,82421671.91649999,77445722.12713082,54.48303791021923,201.30589452579116,0.9087701352584246,103.94251663907514,58.19756954796161,40.02108457186723,-8.218773859822235,-6.037186183762709,24.366862282946038
baseline_rolling_median_3_pred,605437,82421671.91649999,75407240.87970002,56.02997983638266,211.68562761438525,0.9321370953345542,100.3602335143339,59.444675078964885,41.1574069215272,-11.585732350021553,-8.510420710594381,24.366862282946038
baseline_rolling_mean_6_pred,605437,82421671.91649999,77288767.93009663,56.15272696328578,205.25560455875154,0.9194453255389715,109.77597108622297,58.90931716584695,41.24757210568669,-8.478015031131866,-6.227614493920264,24.366862282946038
baseline_expanding_mean_pred,605437,82421671.91649999,80958788.21480414,60.46465323890311,217.13797403104803,0.9418578490263348,120.81148294393023,60.687573305625605,44.41494258947849,-2.416244302373199,-1.7748774899614599,24.366862282946038
baseline_last_month_pred,605437,82421671.91649999,79402962.072,60.926877533913526,224.34855186475704,0.9864393876503875,101.91414036624555,62.47882128299742,44.75447427330763,-4.986001589760784,-3.6625195465073737,24.366862282946038
baseline_same_month_last_year_pred,605437,82421671.91649999,84890182.47310002,71.7069282723058,257.3307712623853,1.0795808163903517,128.8646910489338,67.85769907664893,52.67307314074148,4.077237692113299,2.9949775334584827,24.366862282946038
