fold,model,method_type,algorithm,objective,status,skip_reason,uses_news,uses_commodity,uses_module_c,n_features,N,ACTUAL_SUM,PREDICTION_SUM,MAE,RMSE,RMSLE,MAPE,SMAPE,WAPE,BIAS,BIAS_PCT,ZERO_ACTUAL_RATE,historical_weight,historical_rows
2024_q3,stock_model_e_commodity_only,machine_learning,lightgbm_regression_l1,regression_l1,ready,,False,True,False,54,355965,49413194.10595071,46974072.396655686,49.857638854183506,196.99860564164896,0.7581504529756882,79.05165461819345,71.39976612309478,35.916671115563716,-6.85213914091284,-4.936174949680675,24.53752475664742,1.0,952002.0
2024_q3,stock_model_a_usage_only,machine_learning,lightgbm_regression_l1,regression_l1,ready,,False,False,False,51,355965,49413194.10595071,47048330.264856845,49.974084166477596,195.7059179501947,0.760984869630098,79.97467099680347,72.30160819720024,36.00055651568962,-6.643529114081041,-4.785895516131132,24.53752475664742,1.0,952002.0
2024_q3,stock_model_a_usage_tweedie,machine_learning,lightgbm_tweedie,tweedie,ready,,False,False,False,51,355965,49413194.10595071,50323636.849801704,51.89564983844687,184.24205704738387,0.8235898526327146,106.23034906415252,87.22251218744763,37.384822675363296,2.5576748945851255,1.8425093951604083,24.53752475664742,1.0,952002.0
2024_q3,stock_model_b_news,machine_learning,lightgbm_tweedie,tweedie,ready,,True,False,False,55,355965,49413194.10595071,50344763.13966035,51.97059418682424,186.5986671747253,0.8243798892156114,106.45329057346244,87.23821363742368,37.43881142361735,2.617024240331597,1.8852637449669565,24.53752475664742,1.0,952002.0
2024_q3,stock_model_c_news_commodity,machine_learning,lightgbm_tweedie,tweedie,ready,,True,True,False,58,355965,49413194.10595071,50467627.410547026,52.017091994077624,186.60153829967064,0.8251893609536326,106.73160317539178,87.26407131215447,37.47230772406589,2.962182530856474,2.133910433588687,24.53752475664742,1.0,952002.0
2024_q3,stock_model_d_module_c,machine_learning,lightgbm_tweedie,tweedie,ready,,False,False,True,59,355965,49413194.10595071,50448977.54412438,52.021225915050465,186.07448137775685,0.8242788785461337,106.48380766044,87.23581717905327,37.475285736731784,2.9097901146845313,2.0961677481377987,24.53752475664742,1.0,952002.0
2024_q3,baseline_rolling_mean_3,baseline,deterministic,,ready,,False,False,False,1,355965,49413194.10595071,48346850.59061288,53.97035151542309,187.94114103584567,0.9060235674601063,103.55233468165159,57.80432603083702,38.87940564213391,-2.995641468509061,-2.158013734249604,24.53752475664742,,
2024_q3,baseline_rolling_mean_6,baseline,deterministic,,ready,,False,False,False,1,355965,49413194.10595071,48708061.43587125,54.99355117591278,190.8298705855583,0.9161522902654724,108.63441833147331,58.25983675094059,39.616502835983084,-1.9809044992610292,-1.427012932148308,24.53752475664742,,
2024_q3,baseline_rolling_median_3,baseline,deterministic,,ready,,False,False,False,1,355965,49413194.10595071,47010625.03440303,55.59574935321418,198.875191045104,0.9269226675494003,99.62514986896447,59.05165939478152,40.050317079449044,-6.749453096646216,-4.862201513215565,24.53752475664742,,
2024_q3,baseline_expanding_mean,baseline,deterministic,,ready,,False,False,False,1,355965,49413194.10595071,49691507.92357279,56.75376790653562,195.35798942508913,0.924652596002291,112.71838056312266,58.95070679755491,40.884535716376675,0.7818572545674062,0.5632378611779799,24.53752475664742,,
