keyword	family_id	display	basis	evidence
Mission Cholesterol	LIPID_TEST_STRIP	Mission 콜레스테롤 검사	general_knowledge_unverified	콜레스테롤 측정
Multi sample needle	BLOOD_COLLECTION_NEEDLE	멀티샘플 채혈니들	general_knowledge_unverified	진공채혈용 니들
LDL-Cholesterol	CLINICAL_CHEMISTRY_TEST	LDL콜레스테롤 검사 시약	general_knowledge_unverified	임상화학 지질검사
Capillary tube	BLOOD_COLLECTION_TUBE	Capillary tube(모세관 채혈관)	general_knowledge_unverified	채혈 소모품
T.Cholesterol	CLINICAL_CHEMISTRY_TEST	총콜레스테롤 검사 시약	general_knowledge_unverified	임상화학 지질검사
일양바이오아토르바스타틴	ATORVASTATIN	아토르바스타틴(이상지질혈증)	web_search_2026_07_15	제품명에 아토르바스타틴칼슘10mg 명시
T.Bilirubin	CLINICAL_CHEMISTRY_TEST	총빌리루빈 검사시약	general_knowledge_unverified	임상화학 검사
이노엔0.9%생리식염	SODIUM_CHLORIDE	이노엔 0.9% 생리식염주사액	general_knowledge_unverified	0.9% NaCl 수액
steri-strip	WOUND_CLOSURE_STRIP	스테리스트립(상처봉합 테이프)	general_knowledge_unverified	창상봉합
Cell clean	CLINICAL_CHEMISTRY_TEST	셀클린(혈구분석기 세정액)	general_knowledge_unverified	Sysmex CELLCLEAN
티지피글리메피리드	GLIMEPIRIDE	글리메피리드(당뇨)	general_knowledge_unverified	제품명에 글리메피리드2mg 명시
위더스글리메피리드	GLIMEPIRIDE	글리메피리드(당뇨)	general_knowledge_unverified	제품명에 글리메피리드2mg 명시
헤모글로빈측정스틱	HEMOGLOBIN_TEST_STRIP	헤모글로빈 측정스틱	general_knowledge_unverified	혈색소 측정
제로이드 인텐시브	SKINCARE_COSMETIC_TOPICAL	제로이드 인텐시브 크림	general_knowledge_unverified	더마 보습크림
제뉴원글리메피리드	GLIMEPIRIDE	글리메피리드(당뇨)	general_knowledge_unverified	제품명에 글리메피리드2mg 명시
유니온레보설피리드	LEVOSULPIRIDE	레보설피리드(기능성소화불량)	web_search_2026_07_15	제품명에 레보설피리드 명시
경남데일리디츄어블	MULTIVITAMIN_MINERAL	데일리디츄어블정(츄어블 종합비타민)	general_knowledge_unverified	종합비타민
EDTA Tube	BLOOD_COLLECTION_TUBE	EDTA Tube(채혈관)	general_knowledge_unverified	채혈관
BST strip	BLOOD_GLUCOSE_TEST_STRIP	BST strip(혈당측정지)	general_knowledge_unverified	혈당검사 소모품
cell pack	CLINICAL_CHEMISTRY_TEST	셀팩 혈구분석 희석액	general_knowledge_unverified	Sysmex CELLPACK 혈액분석 희석액
고지혈증 측정스틱	LIPID_TEST_STRIP	고지혈증 측정 스틱	general_knowledge_unverified	지질측정 스트립
Urocolor	URINE_TEST_STRIP	Urocolor 요검사 스트립	general_knowledge_unverified	소변 검사 스트립
헤모글로빈검사지	HEMOGLOBIN_TEST_STRIP	헤모글로빈 검사지	general_knowledge_unverified	Hb 측정 검사지
세비엠에이치씨티	OLMESARTAN_AMLODIPINE_HCTZ	올메사르탄/암로디핀/HCT(고혈압)	general_knowledge_unverified	세비카HCT 삼제 암로/올메40/HCT12.5
세자르플러스에프	LOSARTAN_HCTZ	로사르탄/HCT(고혈압)	web_search_2026_07_15	삼익 세자르플러스에프=로사르탄+HCT
센티렉스어드밴스	MULTIVITAMIN_MINERAL	종합비타민미네랄	web_search_2026_07_15	GSK 센티렉스어드밴스정=멀티비타민미네랄
씨엠지모사프리드	MOSAPRIDE	모사프리드시트르산염(위장운동촉진제)	web_search_2026_07_15	제품명에 모사프리드시트르산염수화물 명시
영풍독시사이클린	DOXYCYCLINE	영풍 독시사이클린정	general_knowledge_unverified	명칭에 독시사이클린 명시
대한아스코르브산	ASCORBIC_ACID	대한 아스코르브산주사액(비타민C)	general_knowledge_unverified	비타민C 주사
아토베리어 크림	SKINCARE_COSMETIC_TOPICAL	아토베리어 크림(보습)	general_knowledge_unverified	보습 크림
CELLPACK	CLINICAL_CHEMISTRY_TEST	셀팩(혈구분석 희석액)	general_knowledge_unverified	Sysmex diluent
Syphilis	CLINICAL_CHEMISTRY_TEST	매독 검사 시약	general_knowledge_unverified	매독 혈청검사 항목
Blue tip	LAB_PIPETTE_TIP	블루팁(피펫팁)	general_knowledge_unverified	실험용 피펫 팁
HDL-Chol	CLINICAL_CHEMISTRY_TEST	HDL콜레스테롤 검사 시약	general_knowledge_unverified	임상화학 지질검사
아스코르브산주사	ASCORBIC_ACID	아스코르브산주사액(비타민C)	general_knowledge_unverified	비타민C 주사제
일회용 검진가운	APPAREL_TEXTILE	일회용 검진가운	general_knowledge_unverified	비의약품 검진복
vacuette	BLOOD_COLLECTION_TUBE	바쿠에트 채혈관	general_knowledge_unverified	Vacuette 진공채혈관
중성지방 스틱	LIPID_TEST_STRIP	중성지방 측정스틱	general_knowledge_unverified	중성지방 측정
스펙트라 유축	ELECTRONIC_DEVICE_COMPONENT	스펙트라 유축기	general_knowledge_unverified	전동 유축기
염산테르비나핀	TERBINAFINE	염산테르비나핀크림	general_knowledge_unverified	테르비나핀 항진균
알리코세파클러	CEFACLOR	알리코세파클러캅셀(세파클러)	general_knowledge_unverified	세파클러 항생제
헤모글로빈스틱	HEMOGLOBIN_TEST_STRIP	헤모글로빈 검사 스틱	general_knowledge_unverified	Hb 측정 스트립
