korean	english
가미소요산	HANBANG_HERBAL_EXTRACT
가바펜틴	GABAPENTIN
가벡세이트메실산염	GABEXATE
간보환	HANBANG_HERBAL_EXTRACT
간호사모자	APPAREL_TEXTILE
갈라민트리에티오디드	GALLAMINE
갈란타민브롬화수소산염	GALANTAMINE
개별	NON_INGREDIENT_SPEC
건조살무사항독소	MAMUSHI_ANTIVENOM
건조수산화알루미늄겔	ALUMINUM_HYDROXIDE
건조황산제일철	FERROUS_SULFATE
검정	NON_INGREDIENT_SPEC
겉기저귀	INFANT_HYGIENE_SUPPLY
겐타마이신황산염	GENTAMICIN
겔형	NON_INGREDIENT_SPEC
경구용약독화로타생바이러스백신	ROTAVIRUS_VACCINE
경구용장티푸스백신	TYPHOID_VACCINE_ORAL
경추보호대	CERVICAL_COLLAR
구아야줄렌	GUAIAZULENE
구아야쥴렌	GUAIAZULENE
구연산모사프리드	MOSAPRIDE
구연산모사프리드이수화물	MOSAPRIDE
구충제	ANTHELMINTIC_GENERIC
구형흡착탄	SPHERICAL_CARBON_ADSORBENT
국가예방접종_홍보물	PROMO_MATERIAL
그라니세트론염산염	GRANISETRON
글루콘산제이철나트륨착염	SODIUM_FERRIC_GLUCONATE
글루타티온환원형	GLUTATHIONE
글리메피리드	GLIMEPIRIDE
글리코피롤레이트	GLYCOPYRRONIUM
글리클라지드	GLICLAZIDE
길초산초산프레드니솔론	PREDNISOLONE_VALERATE_ACETATE
나라트립탄염산염	NARATRIPTAN
나프토피딜	NAFTOPIDIL
낙산프로피온산하이드로코티손	HYDROCORTISONE_BUTYRATE_PROPIONATE
날록손염산염	NALOXONE
날트렉손염산염	NALTREXONE
남구건강홍보단	PROMO_MATERIAL
네비보롤염산염	NEBIVOLOL
네오	NON_INGREDIENT_SPEC
네오드레싱	WOUND_DRESSING
네틸마이신황산염	NETILMICIN
노르에피네프린타르타르산염수화물	NOREPINEPHRINE
농글리세린	GLYCERIN
니세르골린	NICERGOLINE
니카르디핀염산염	NICARDIPINE
니코란딜	NICORANDIL
니페디핀	NIFEDIPINE
니푸록사지드	NIFUROXAZIDE
다비가트란에텍실레이트메실산염	DABIGATRAN
다파글리플로진	DAPAGLIFLOZIN
다파글리플로진_시타글립틴	DAPAGLIFLOZIN_SITAGLIPTIN
다파글리플로진_피오글리타존	DAPAGLIFLOZIN_PIOGLITAZONE
다파글리플로진무수유당혼합물	DAPAGLIFLOZIN
다파글리플로진시트르산	DAPAGLIFLOZIN
다파글리플로진포르메이트	DAPAGLIFLOZIN
다파글리플로진프로판디올수화물	DAPAGLIFLOZIN
다파글리플로진프로판디올수화물_시타글립틴인산염수화물	DAPAGLIFLOZIN_SITAGLIPTIN
단미엑스산혼합제	HERBAL_MIXED_EXTRACT
단품	NON_INGREDIENT_SPEC
당귀_목과_방풍등	HANBANG_HERBAL_DECOCTION
당뇨환자용	NON_INGREDIENT_SPEC
대상포진생바이러스백신	ZOSTER_VACCINE
대한	MANUFACTURER_NAME_NOISE
대형	NON_INGREDIENT_SPEC
데노수맙	DENOSUMAB
데소나이드	DESONIDE
데소니드	DESONIDE
데속시메타손	DESOXIMETASONE
데스모프레신아세트산염	DESMOPRESSIN
데스벤라팍신	DESVENLAFAXINE
데페라시록스	DEFERASIROX
덱스란소프라졸	DEXLANSOPRAZOLE
덱스판테놀	DEXPANTHENOL
덱시부프로펜	DEXIBUPROFEN
도네페질	DONEPEZIL
도네페질염산염	DONEPEZIL
도네페질염산염수화물	DONEPEZIL
도네페질염산염수화물_메만틴염산염	DONEPEZIL_MEMANTINE
도네페질염산염일수화물	DONEPEZIL
도베실산칼슘수화물	CALCIUM_DOBESILATE
도파민염산염	DOPAMINE
독사조신메실산염	DOXAZOSIN
독세핀염산염	DOXEPIN
독소필린	DOXOFYLLINE
독시사이클린수화물	DOXYCYCLINE
돔페리돈	DOMPERIDONE
돔페리돈말레산염	DOMPERIDONE
동방침	ACUPUNCTURE_NEEDLE
두타스테리드	DUTASTERIDE
둘록세틴염산염	DULOXETINE
디곡신	DIGOXIN
디발프로엑스나트륨	DIVALPROEX
디아세레인	DIACEREIN
디아제팜	DIAZEPAM
디오마그나이트	MAGNESIUM_ANTACID
디옥타헤드랄스멕타이트	DIOCTAHEDRAL_SMECTITE
디플루코르톨론발레레이트	DIFLUCORTOLONE_VALERATE
디플루프레드네이트	DIFLUPREDNATE
딜티아젬염산염	DILTIAZEM
라니티딘염산염	RANITIDINE
라모세트론염산염	RAMOSETRON
라베타롤염산염	LABETALOL
라베탈롤염산염	LABETALOL
라베프라졸나트륨	RABEPRAZOLE
라베프라졸나트륨_탄산수소나트륨	RABEPRAZOLE_SODIUM_BICARBONATE
